date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
15/06/24,Burlington,Bock,R,1,CB,10,0,0,ball,,,
15/06/24,Burlington,Bock,R,1,FB,10,1,1,strike,swinging,,
15/06/24,Burlington,Bock,R,1,FB,1,1,0,foul,,,
15/06/24,Burlington,Bock,R,1,CB,13,0,0,ball,,,
15/06/24,Burlington,Bock,R,1,FB,11,0,0,ball,,,
15/06/24,Burlington,Bock,R,1,FB,3,1,0,bip,grounder,2,go4
15/06/24,Burlington,Bock,R,2,FB,4,1,0,foul,,,
15/06/24,Burlington,Bock,R,2,CB,10,0,0,ball,,,
15/06/24,Burlington,Bock,R,2,SL,13,0,0,ball,,,
15/06/24,Burlington,Bock,R,2,FB,11,0,0,ball,,,
15/06/24,Burlington,Bock,R,2,FB,11,0,0,ball,walk,,
15/06/24,Burlington,Bock,R,3,FB,10,0,0,ball,,,
15/06/24,Burlington,Bock,R,3,SL,13,0,0,ball,,,
15/06/24,Burlington,Bock,R,3,CH,10,0,0,ball,,,
15/06/24,Burlington,Bock,R,3,FB,3,0,0,strike,looking,,
15/06/24,Burlington,Bock,R,3,FB,9,0,0,strike,looking,,
15/06/24,Burlington,Bock,R,3,FB,2,1,0,foul,,,
15/06/24,Burlington,Bock,R,3,CH,1,1,1,strike,swinging,,k
15/06/24,Burlington,Bock,R,4,CB,13,0,0,ball,,,
15/06/24,Burlington,Bock,R,4,FB,7,1,0,foul,,,
15/06/24,Burlington,Bock,R,4,FB,11,0,0,ball,,,
15/06/24,Burlington,Bock,R,4,SL,13,0,0,ball,,,
15/06/24,Burlington,Bock,R,4,CB,12,0,0,ball,walk,,
28/05/24,Carolina,Bock,R,1,FB,2,1,0,bip,grounder,3,go5
28/05/24,Carolina,Bock,R,2,FB,5,1,0,bip,popup,2,po4
28/05/24,Carolina,Bock,R,3,FB,4,1,0,bip,grounder,2,single
30/05/24,Danville,Bock,R,1,SL,8,0,0,strike,looking,,
30/05/24,Danville,Bock,R,1,SL,13,0,0,ball,,,
30/05/24,Danville,Bock,R,1,CB,12,0,0,ball,,,
30/05/24,Danville,Bock,R,1,FB,13,0,0,ball,,,
30/05/24,Danville,Bock,R,1,FB,13,0,0,ball,walk,,
30/05/24,Danville,Bock,R,2,FB,9,0,0,strike,looking,,
30/05/24,Danville,Bock,R,2,SL,13,0,0,ball,,,
30/05/24,Danville,Bock,R,2,FB,9,1,0,foul,,,
30/05/24,Danville,Bock,R,2,SL,11,0,0,ball,,,
30/05/24,Danville,Bock,R,2,FB,5,1,0,bip,liner,5,single
30/05/24,Danville,Bock,R,3,SL,8,0,0,strike,looking,,
30/05/24,Danville,Bock,R,3,SL,10,0,0,ball,,,
30/05/24,Danville,Bock,R,3,FB,12,0,0,ball,,,
30/05/24,Danville,Bock,R,3,FB,8,0,0,strike,looking,,
30/05/24,Danville,Bock,R,3,SL,13,0,0,ball,,,
