date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
11/07/24,C. Pirates,Boykin,L,1,84,FB,12,0,0
11/07/24,C. Pirates,Boykin,L,1,85,FB,11,0,0
11/07/24,C. Pirates,Boykin,L,1,86,FB,10,0,0
11/07/24,C. Pirates,Boykin,L,1,84,FB,7,0,0
11/07/24,C. Pirates,Boykin,L,1,84,FB,1,1,1
11/07/24,C. Pirates,Boykin,L,1,,FB,2,1,0
11/07/24,C. Pirates,Boykin,R,2,84,FB,13,0,0
11/07/24,C. Pirates,Boykin,R,2,82,FB,6,1,0
11/07/24,C. Pirates,Boykin,R,3,86,FB,12,0,0
11/07/24,C. Pirates,Boykin,R,3,83,FB,10,0,0
11/07/24,C. Pirates,Boykin,R,3,83,FB,3,0,0
11/07/24,C. Pirates,Boykin,R,3,83,FB,5,1,1
11/07/24,C. Pirates,Boykin,R,3,74,SL,13,0,0
11/07/24,C. Pirates,Boykin,R,3,84,FB,10,0,0
11/07/24,C. Pirates,Boykin,R,4,84,FB,13,1,0
11/07/24,C. Pirates,Boykin,R,4,70,CB,5,0,0
11/07/24,C. Pirates,Boykin,R,4,73,SL,6,1,1
11/07/24,C. Pirates,Boykin,R,5,82,FB,11,0,0
11/07/24,C. Pirates,Boykin,R,5,82,FB,10,0,0
11/07/24,C. Pirates,Boykin,R,5,83,FB,9,0,0
11/07/24,C. Pirates,Boykin,R,5,72,CB,9,0,0
11/07/24,C. Pirates,Boykin,R,5,73,SL,13,1,1
11/07/24,C. Pirates,Boykin,R,6,72,CB,13,0,0
11/07/24,C. Pirates,Boykin,R,6,83,FB,2,1,0
11/07/24,C. Pirates,Boykin,R,6,72,SL,13,0,0
11/07/24,C. Pirates,Boykin,R,6,83,FB,3,1,1
11/07/24,C. Pirates,Boykin,R,6,81,FB,8,1,1
11/07/24,C. Pirates,Boykin,R,7,76,CH,11,0,0
11/07/24,C. Pirates,Boykin,R,7,80,FB,5,1,0
11/07/24,C. Pirates,Boykin,R,8,77,CH,4,1,0
11/07/24,C. Pirates,Boykin,R,9,79,CH,2,0,0
11/07/24,C. Pirates,Boykin,R,9,79,FB,10,0,0
11/07/24,C. Pirates,Boykin,R,9,81,FB,8,0,0
11/07/24,C. Pirates,Boykin,R,9,76,CH,13,0,0
11/07/24,C. Pirates,Boykin,R,9,79,FB,1,0,0
11/07/24,C. Pirates,Boykin,R,9,69,CB,9,1,1
11/07/24,C. Pirates,Boykin,R,10,66,CB,5,1,1
11/07/24,C. Pirates,Boykin,R,10,65,CB,10,0,0
11/07/24,C. Pirates,Boykin,R,10,79,FB,13,0,0
11/07/24,C. Pirates,Boykin,R,10,,FB,8,1,0
11/07/24,C. Pirates,Boykin,L,11,79,FB,1,1,1
11/07/24,C. Pirates,Boykin,L,11,82,FB,10,0,0
11/07/24,C. Pirates,Boykin,L,11,83,FB,10,1,1
11/07/24,C. Pirates,Boykin,L,11,69,CB,13,0,0
11/07/24,C. Pirates,Boykin,L,12,79,FB,10,0,0
11/07/24,C. Pirates,Boykin,L,12,81,FB,2,1,1
11/07/24,C. Pirates,Boykin,L,12,78,CH,13,0,0
11/07/24,C. Pirates,Boykin,L,12,80,FB,6,1,0
11/07/24,C. Pirates,Boykin,L,12,67,SL,11,0,0
11/07/24,C. Pirates,Boykin,L,12,82,FB,8,1,1
11/07/24,C. Pirates,Boykin,R,13,80,FB,5,1,0
16/07/24,Oak City,Boykin,R,1,83,FB,9,1,1
16/07/24,Oak City,Boykin,R,1,74,CH,10,0,0
16/07/24,Oak City,Boykin,R,1,84,FB,6,1,0
16/07/24,Oak City,Boykin,R,1,72,CB,13,0,0
16/07/24,Oak City,Boykin,R,1,69,SL,6,0,0
16/07/24,Oak City,Boykin,R,2,73,CB,7,0,0
16/07/24,Oak City,Boykin,R,2,85,FB,12,0,0
16/07/24,Oak City,Boykin,R,2,74,CH,8,1,1
16/07/24,Oak City,Boykin,R,2,73,CB,9,1,1
16/07/24,Oak City,Boykin,R,3,87,FB,10,0,0
16/07/24,Oak City,Boykin,R,3,74,CB,5,0,0
16/07/24,Oak City,Boykin,R,3,85,FB,13,0,0
16/07/24,Oak City,Boykin,R,3,71,CB,12,0,0
16/07/24,Oak City,Boykin,R,3,85,FB,5,1,0
16/07/24,Oak City,Boykin,R,4,73,CH,10,0,0
16/07/24,Oak City,Boykin,R,4,,FB,2,1,1
16/07/24,Oak City,Boykin,R,4,81,CH,3,1,0
16/07/24,Oak City,Boykin,R,4,70,CB,8,1,0
16/07/24,Oak City,Boykin,L,5,84,FB,5,0,0
16/07/24,Oak City,Boykin,L,5,86,FB,3,1,0
16/07/24,Oak City,Boykin,L,5,71,CB,13,0,0
16/07/24,Oak City,Boykin,L,5,70,CB,12,0,0
16/07/24,Oak City,Boykin,L,5,86,FB,13,0,0
16/07/24,Oak City,Boykin,L,5,84,FB,5,1,0
16/07/24,Oak City,Boykin,R,6,70,SL,11,0,0
16/07/24,Oak City,Boykin,R,6,81,CH,10,0,0
16/07/24,Oak City,Boykin,R,6,83,FB,12,0,0
16/07/24,Oak City,Boykin,R,6,83,FB,6,0,0
16/07/24,Oak City,Boykin,R,6,83,FB,12,0,0
16/07/24,Oak City,Boykin,R,7,83,FB,2,1,1
16/07/24,Oak City,Boykin,R,7,73,CH,1,0,0
16/07/24,Oak City,Boykin,R,7,70,SL,13,1,0
16/07/24,Oak City,Boykin,R,8,85,FB,8,1,0
16/07/24,Oak City,Boykin,R,8,70,SL,7,0,0
16/07/24,Oak City,Boykin,R,8,84,FB,10,1,0
16/07/24,Oak City,Boykin,R,8,84,FB,11,0,0
16/07/24,Oak City,Boykin,R,8,73,CB,6,0,0
16/07/24,Oak City,Boykin,R,9,71,CH,13,0,0
16/07/24,Oak City,Boykin,R,9,71,CB,13,0,0
16/07/24,Oak City,Boykin,R,9,83,FB,3,1,0
16/07/24,Oak City,Boykin,R,10,83,FB,4,0,0
16/07/24,Oak City,Boykin,R,10,73,CB,5,1,0
16/07/24,Oak City,Boykin,R,11,85,FB,3,1,0
16/07/24,Oak City,Boykin,R,12,71,CH,10,0,0
16/07/24,Oak City,Boykin,R,12,74,SL,11,1,0
