date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
17/07/24,High Point,Brown,R,1,FB,10,0,0,ball,,,
17/07/24,High Point,Brown,R,1,FB,12,0,0,ball,,,
17/07/24,High Point,Brown,R,1,CH,7,0,0,strike,looking,,
17/07/24,High Point,Brown,R,1,FB,12,0,0,ball,,,
17/07/24,High Point,Brown,R,1,FB,10,0,0,ball,walk,,
17/07/24,High Point,Brown,R,2,FB,10,0,0,ball,,,
17/07/24,High Point,Brown,R,2,CH,12,0,0,ball,,,
17/07/24,High Point,Brown,R,2,CH,4,0,0,strike,looking,,
17/07/24,High Point,Brown,R,2,FB,10,1,1,strike,swinging,,
17/07/24,High Point,Brown,R,2,FB,4,0,0,strike,looking,,kk
17/07/24,High Point,Brown,L,3,CH,12,0,0,ball,,,
17/07/24,High Point,Brown,L,3,FB,4,0,0,strike,looking,,
17/07/24,High Point,Brown,L,3,CH,2,1,0,bip,popup,8,po5
17/07/24,High Point,Brown,L,4,CB,13,0,0,ball,,,
17/07/24,High Point,Brown,L,4,FB,10,1,0,foul,,,
17/07/24,High Point,Brown,L,4,FB,1,1,0,foul,,,
17/07/24,High Point,Brown,L,4,FB,3,1,0,foul,,,
17/07/24,High Point,Brown,L,4,FB,5,1,0,foul,,,
17/07/24,High Point,Brown,L,4,CB,12,0,0,ball,,,
17/07/24,High Point,Brown,L,4,FB,11,0,0,ball,,,
17/07/24,High Point,Brown,L,4,CH,12,0,0,ball,walk,,
06/07/24,High Point,Brown,R,1,FB,10,1,0,foul,,,
06/07/24,High Point,Brown,R,1,SL,13,0,0,ball,,,
06/07/24,High Point,Brown,R,1,CH,12,1,0,foul,,,
06/07/24,High Point,Brown,R,1,FB,12,0,0,ball,,,
06/07/24,High Point,Brown,R,1,FB,10,0,0,ball,,,
06/07/24,High Point,Brown,R,1,FB,2,1,0,bip,grounder,1,go3
06/07/24,High Point,Brown,R,2,CH,12,1,1,strike,swinging,,
06/07/24,High Point,Brown,R,2,FB,4,1,0,bip,grounder,6,single
06/07/24,High Point,Brown,R,3,FB,10,0,0,ball,,,
06/07/24,High Point,Brown,R,3,FB,4,1,1,strike,swinging,,
06/07/24,High Point,Brown,R,3,FB,10,0,0,ball,,,
06/07/24,High Point,Brown,R,3,FB,8,0,0,strike,looking,,
06/07/24,High Point,Brown,R,3,FB,10,1,1,strike,swinging,,k
