date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
16/07/24,Oak City,Cato,R,1,FB,1,1,0,bip,popup,4,po6
16/07/24,Oak City,Cato,R,2,FB,2,1,0,foul,,,
16/07/24,Oak City,Cato,R,2,FB,11,1,0,bip,grounder,1,go4
16/07/24,Oak City,Cato,R,3,CH,12,0,0,ball,,,
16/07/24,Oak City,Cato,R,3,FB,5,1,0,bip,fly,5,fo8
16/07/24,Oak City,Cato,R,4,FB,4,1,0,bip,grounder,3,single
17/07/24,High Point,Cato,R,1,FB,2,1,0,bip,grounder,3,single
17/07/24,High Point,Cato,R,2,FB,1,0,0,strike,looking,,
17/07/24,High Point,Cato,R,2,FB,6,0,0,strike,looking,,
17/07/24,High Point,Cato,R,2,FB,13,0,0,ball,hbp,,
17/07/24,High Point,Cato,L,3,FB,12,0,0,ball,,,
17/07/24,High Point,Cato,L,3,CH,5,1,0,foul,,,
17/07/24,High Point,Cato,L,3,CH,9,1,0,foul,,,
17/07/24,High Point,Cato,L,3,CB,12,1,1,strike,swinging,,k
17/07/24,High Point,Cato,L,4,CB,11,0,0,ball,,,
17/07/24,High Point,Cato,L,4,CH,10,0,0,ball,,,
17/07/24,High Point,Cato,L,4,FB,11,0,0,ball,hbp,,
17/07/24,High Point,Cato,L,5,FB,1,1,0,bip,grounder,2,fc
06/07/24,High Point,Cato,R,1,FB,13,0,0,ball,,,
06/07/24,High Point,Cato,R,1,FB,2,1,0,foul,,,
06/07/24,High Point,Cato,R,1,CB,11,0,0,ball,,,
06/07/24,High Point,Cato,R,1,CH,9,1,1,strike,swinging,,
06/07/24,High Point,Cato,R,1,FB,4,1,0,foul,,,
06/07/24,High Point,Cato,R,1,CB,4,1,0,bip,fly,4,fo7
06/07/24,High Point,Cato,R,2,FB,4,0,0,strike,looking,,
06/07/24,High Point,Cato,R,2,FB,5,1,0,bip,popup,3,po6
06/07/24,High Point,Cato,R,3,FB,1,0,0,strike,looking,,
06/07/24,High Point,Cato,R,3,CB,7,1,0,bip,grounder,5,single
06/07/24,High Point,Cato,R,4,FB,10,0,0,ball,,,
06/07/24,High Point,Cato,R,4,FB,5,1,1,strike,swinging,,
06/07/24,High Point,Cato,R,4,FB,3,1,0,foul,,,
06/07/24,High Point,Cato,R,4,FB,3,1,0,bip,popup,7,po3
