date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
16/07/24,Oak City,Cato,R,1,FB,1,1,0,bip,popup,4,po6
16/07/24,Oak City,Cato,R,2,FB,11,1,0,bip,grounder,1,go4
16/07/24,Oak City,Cato,R,3,FB,5,1,0,bip,fly,5,fo8
16/07/24,Oak City,Cato,R,4,FB,4,1,0,bip,grounder,3,single
17/07/24,High Point,Cato,R,1,FB,2,1,0,bip,grounder,3,single
17/07/24,High Point,Cato,R,2,FB,13,0,0,ball,hbp,,
17/07/24,High Point,Cato,L,3,CB,12,1,1,strike,swinging,,k
17/07/24,High Point,Cato,L,4,FB,11,0,0,ball,hbp,,
17/07/24,High Point,Cato,L,5,FB,1,1,0,bip,grounder,2,fc
06/07/24,High Point,Cato,R,1,CB,4,1,0,bip,fly,4,fo7
06/07/24,High Point,Cato,R,2,FB,5,1,0,bip,popup,3,po6
06/07/24,High Point,Cato,R,3,CB,7,1,0,bip,grounder,5,single
06/07/24,High Point,Cato,R,4,FB,3,1,0,bip,popup,7,po3
