date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
04/06/24,High Point,Cepparulo,R,1,CH,11,0,0,ball,,,
04/06/24,High Point,Cepparulo,R,1,FB,5,0,0,strike,looking,,
04/06/24,High Point,Cepparulo,R,1,FB,6,1,1,strike,swinging,,
04/06/24,High Point,Cepparulo,R,1,CH,11,0,0,ball,,,
04/06/24,High Point,Cepparulo,R,1,SL,11,1,0,foul,,,
04/06/24,High Point,Cepparulo,R,1,FB,2,1,0,foul,,,
04/06/24,High Point,Cepparulo,R,1,CB,12,0,0,ball,,,
04/06/24,High Point,Cepparulo,R,1,FB,10,0,0,ball,walk,,
04/06/24,High Point,Cepparulo,R,2,FB,4,1,0,foul,,,
04/06/24,High Point,Cepparulo,R,2,FB,3,1,0,bip,fly,6,hr
04/06/24,High Point,Cepparulo,R,3,FB,13,0,0,ball,,,
04/06/24,High Point,Cepparulo,R,3,CH,12,0,0,ball,,,
04/06/24,High Point,Cepparulo,R,3,FB,10,0,0,ball,,,
04/06/24,High Point,Cepparulo,R,3,FB,13,0,0,ball,walk,,
04/06/24,High Point,Cepparulo,R,4,CH,10,0,0,ball,,,
04/06/24,High Point,Cepparulo,R,4,SL,11,0,0,ball,,,
04/06/24,High Point,Cepparulo,R,4,FB,1,1,0,bip,grounder,1,fc
04/06/24,High Point,Cepparulo,R,5,FB,12,0,0,ball,,,
04/06/24,High Point,Cepparulo,R,5,CH,7,1,1,strike,swinging,,
04/06/24,High Point,Cepparulo,R,5,CH,9,0,0,strike,looking,,
04/06/24,High Point,Cepparulo,R,5,FB,2,1,0,bip,fly,5,double
05/06/24,Yorktown,Cepparulo,R,1,CB,10,0,0,ball,,,
05/06/24,Yorktown,Cepparulo,R,1,FB,10,0,0,ball,,,
05/06/24,Yorktown,Cepparulo,R,1,FB,11,0,0,ball,,,
05/06/24,Yorktown,Cepparulo,R,1,FB,11,0,0,ball,walk,,
30/05/24,Danville,Cepparulo,R,1,FB,10,0,0,ball,,,
30/05/24,Danville,Cepparulo,R,1,FB,13,0,0,ball,,,
30/05/24,Danville,Cepparulo,R,1,FB,6,1,0,bip,liner,5,double
