date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
04/06/24,High Point,Cepparulo,R,1,FB,10,0,0,ball,walk,,
04/06/24,High Point,Cepparulo,R,2,FB,3,1,0,bip,fly,6,hr
04/06/24,High Point,Cepparulo,R,3,FB,13,0,0,ball,walk,,
04/06/24,High Point,Cepparulo,R,4,FB,1,1,0,bip,grounder,1,fc
04/06/24,High Point,Cepparulo,R,5,FB,2,1,0,bip,fly,5,double
05/06/24,Yorktown,Cepparulo,R,1,FB,11,0,0,ball,walk,,
30/05/24,Danville,Cepparulo,R,1,FB,6,1,0,bip,liner,5,double
30/05/24,Danville,Cepparulo,R,2,SL,8,0,0,strike,looking,,kk
30/05/24,Danville,Cepparulo,R,3,FB,13,1,0,bip,fly,6,hr
30/05/24,Danville,Cepparulo,R,5,FB,5,1,0,bip,grounder,2,go1
31/05/24,Burlington,Cepparulo,R,1,FB,4,1,0,bip,grounder,2,go1
31/05/24,Burlington,Cepparulo,L,2,CH,6,1,0,bip,popup,2,po4
31/05/24,Burlington,Cepparulo,R,3,FB,7,1,0,bip,fly,6,fo9
31/05/24,Burlington,Cepparulo,R,4,FB,3,1,0,bip,liner,6,single
18/06/24,Carolina,Cepparulo,R,1,CB,3,1,0,bip,grounder,1,go3
18/06/24,Carolina,Cepparulo,L,2,CH,11,0,0,ball,hbp,,
18/06/24,Carolina,Cepparulo,R,3,CH,6,1,0,bip,fly,5,fo8
18/06/24,Carolina,Cepparulo,R,4,FB,2,1,0,bip,grounder,2,sh5
18/06/24,Carolina,Cepparulo,R,5,FB,5,1,0,bip,liner,5,single
21/06/24,Oak City,Cepparulo,R,1,FB,3,1,0,bip,fly,5,single
21/06/24,Oak City,Cepparulo,R,2,FB,11,0,0,ball,walk,,
21/06/24,Oak City,Cepparulo,R,3,CB,11,1,1,strike,swinging,,k
21/06/24,Oak City,Cepparulo,R,4,FB,8,1,1,strike,swinging,,k
21/06/24,Oak City,Cepparulo,R,5,FB,4,0,0,strike,looking,,kk
07/07/24,Oak City,Cepparulo,R,1,CH,4,1,1,strike,swinging,,k
07/07/24,Oak City,Cepparulo,R,2,FB,13,0,0,ball,walk,,
07/07/24,Oak City,Cepparulo,R,3,CH,12,1,1,strike,swinging,,k
07/07/24,Oak City,Cepparulo,R,4,FB,10,0,0,ball,walk,,
07/07/24,Oak City,Cepparulo,R,5,FB,12,0,0,ball,walk,,
10/07/24,Clayton,Cepparulo,R,1,CH,9,1,0,bip,fly,6,single
10/07/24,Clayton,Cepparulo,R,2,FB,4,1,0,bip,grounder,1,go3
10/07/24,Clayton,Cepparulo,R,3,FB,8,1,0,bip,fly,6,fo9
10/07/24,Clayton,Cepparulo,R,4,FB,4,0,0,strike,looking,,kk
06/07/24,High Point,Cepparulo,R,1,FB,13,0,0,ball,hbp,,
