date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
11/07/24,C. Pirates,Comer,L,1,81,FB,1,0,0
11/07/24,C. Pirates,Comer,L,1,63,CB,10,0,0
11/07/24,C. Pirates,Comer,L,1,81,FB,10,0,0
11/07/24,C. Pirates,Comer,L,1,81,FB,3,1,0
11/07/24,C. Pirates,Comer,L,1,82,FB,11,0,0
11/07/24,C. Pirates,Comer,L,1,81,FB,10,0,0
11/07/24,C. Pirates,Comer,R,2,80,FB,2,1,0
11/07/24,C. Pirates,Comer,R,2,80,FB,11,0,0
11/07/24,C. Pirates,Comer,R,2,83,FB,4,1,1
11/07/24,C. Pirates,Comer,R,2,80,FB,3,1,0
11/07/24,C. Pirates,Comer,R,3,82,FB,10,0,0
11/07/24,C. Pirates,Comer,R,3,80,FB,11,0,0
11/07/24,C. Pirates,Comer,R,3,81,FB,5,1,0
11/07/24,C. Pirates,Comer,R,3,81,FB,4,1,0
11/07/24,C. Pirates,Comer,R,3,82,FB,6,1,0
11/07/24,C. Pirates,Comer,R,3,80,FB,11,0,0
11/07/24,C. Pirates,Comer,R,3,81,FB,9,1,0
11/07/24,C. Pirates,Comer,R,4,81,FB,2,0,0
11/07/24,C. Pirates,Comer,R,4,82,FB,3,0,0
11/07/24,C. Pirates,Comer,R,4,83,FB,11,0,0
11/07/24,C. Pirates,Comer,R,4,81,FB,11,0,0
11/07/24,C. Pirates,Comer,R,4,82,FB,6,0,0
11/07/24,C. Pirates,Comer,R,4,81,FB,5,1,0
11/07/24,C. Pirates,Comer,R,4,82,FB,1,1,0
11/07/24,C. Pirates,Comer,R,4,66,SL,13,1,1
11/07/24,C. Pirates,Comer,R,5,80,FB,6,1,0
11/07/24,C. Pirates,Comer,R,5,80,FB,1,1,1
11/07/24,C. Pirates,Comer,R,5,,CH,13,0,0
11/07/24,C. Pirates,Comer,R,5,79,FB,8,1,0
11/07/24,C. Pirates,Comer,R,6,80,FB,10,1,0
11/07/24,C. Pirates,Comer,R,6,,FB,11,0,0
11/07/24,C. Pirates,Comer,R,6,81,FB,9,1,0
11/07/24,C. Pirates,Comer,R,7,64,CB,10,0,0
11/07/24,C. Pirates,Comer,R,8,79,FB,13,0,0
11/07/24,C. Pirates,Comer,R,8,75,CH,5,1,0
11/07/24,C. Pirates,Comer,R,8,80,FB,10,0,0
11/07/24,C. Pirates,Comer,R,8,77,CH,13,0,0
11/07/24,C. Pirates,Comer,R,8,78,CH,9,0,0
11/07/24,C. Pirates,Comer,R,8,80,FB,6,1,0
11/07/24,C. Pirates,Comer,R,9,81,FB,11,0,0
11/07/24,C. Pirates,Comer,R,9,80,FB,12,0,0
11/07/24,C. Pirates,Comer,R,9,80,FB,4,0,0
11/07/24,C. Pirates,Comer,R,9,74,CH,13,0,0
11/07/24,C. Pirates,Comer,R,9,77,CH,10,0,0
11/07/24,C. Pirates,Comer,R,10,81,FB,10,0,0
11/07/24,C. Pirates,Comer,R,10,78,CH,12,0,0
11/07/24,C. Pirates,Comer,R,10,81,FB,8,0,0
11/07/24,C. Pirates,Comer,R,10,82,FB,9,0,0
11/07/24,C. Pirates,Comer,R,10,80,FB,11,1,1
11/07/24,C. Pirates,Comer,L,11,,FB,13,0,0
11/07/24,C. Pirates,Comer,L,11,78,CH,10,0,0
11/07/24,C. Pirates,Comer,L,11,81,FB,7,1,0
11/07/24,C. Pirates,Comer,R,12,81,FB,10,0,0
11/07/24,C. Pirates,Comer,R,12,81,FB,10,0,0
11/07/24,C. Pirates,Comer,R,12,79,FB,12,1,1
11/07/24,C. Pirates,Comer,R,12,76,CH,12,1,1
11/07/24,C. Pirates,Comer,R,12,80,FB,11,0,0
11/07/24,C. Pirates,Comer,R,13,78,CH,4,0,0
11/07/24,C. Pirates,Comer,R,13,78,CH,10,0,0
11/07/24,C. Pirates,Comer,R,13,77,CH,2,0,0
11/07/24,C. Pirates,Comer,R,13,79,FB,6,1,0
11/07/24,C. Pirates,Comer,R,13,77,CH,1,1,1
11/07/24,C. Pirates,Comer,R,14,76,CH,8,1,0
