date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
15/06/24,Burlington,Drew,R,1,FB,4,1,0,bip,grounder,1,go4
15/06/24,Burlington,Drew,R,2,FB,6,1,0,bip,grounder,2,single
15/06/24,Burlington,Drew,R,3,CB,9,0,0,strike,looking,,
15/06/24,Burlington,Drew,R,3,CH,10,0,0,ball,,,
15/06/24,Burlington,Drew,R,3,FB,13,0,0,ball,,,
15/06/24,Burlington,Drew,R,3,CB,13,0,0,ball,,,
15/06/24,Burlington,Drew,R,3,CH,1,1,0,bip,fly,4,single
15/06/24,Burlington,Drew,R,4,CH,13,1,0,foul,,,
15/06/24,Burlington,Drew,R,4,FB,2,1,0,foul,,,
15/06/24,Burlington,Drew,R,4,CB,13,0,0,ball,,,
15/06/24,Burlington,Drew,R,4,CH,3,1,0,bip,fly,5,fo9
28/05/24,Carolina,Drew,R,1,FB,8,0,0,strike,looking,,
28/05/24,Carolina,Drew,R,1,CB,10,0,0,ball,,,
28/05/24,Carolina,Drew,R,1,FB,5,1,0,foul,,,
28/05/24,Carolina,Drew,R,1,FB,7,1,0,foul,,,
28/05/24,Carolina,Drew,R,1,FB,8,1,0,bip,grounder,3,single
28/05/24,Carolina,Drew,R,2,FB,4,1,0,bip,grounder,2,single
28/05/24,Carolina,Drew,R,3,CH,12,1,1,strike,swinging,,
28/05/24,Carolina,Drew,R,3,FB,12,0,0,ball,,,
28/05/24,Carolina,Drew,R,3,SL,4,1,0,foul,,,
28/05/24,Carolina,Drew,R,3,CB,7,1,0,bip,grounder,1,go4
28/05/24,Carolina,Drew,R,4,CH,8,0,0,strike,looking,,
28/05/24,Carolina,Drew,R,4,CB,12,0,0,ball,,,
28/05/24,Carolina,Drew,R,4,FB,6,0,0,strike,looking,,
28/05/24,Carolina,Drew,R,4,FB,5,1,0,bip,grounder,6,single
31/05/24,Burlington,Drew,R,1,FB,1,1,0,foul,,,
31/05/24,Burlington,Drew,R,1,CH,10,0,0,ball,,,
31/05/24,Burlington,Drew,R,1,FB,10,0,0,ball,,,
31/05/24,Burlington,Drew,R,1,FB,6,0,0,strike,looking,,
31/05/24,Burlington,Drew,R,1,FB,5,1,1,strike,swinging,,k
31/05/24,Burlington,Drew,L,2,CH,5,0,0,strike,looking,,
31/05/24,Burlington,Drew,L,2,CH,11,0,0,ball,,,
31/05/24,Burlington,Drew,L,2,CB,5,1,0,bip,fly,4,single
31/05/24,Burlington,Drew,R,3,FB,13,1,0,foul,,,
31/05/24,Burlington,Drew,R,3,FB,1,1,0,bip,grounder,6,double
31/05/24,Burlington,Drew,R,4,FB,4,0,0,strike,looking,,
31/05/24,Burlington,Drew,R,4,FB,3,1,0,bip,fly,6,fo9
04/06/24,High Point,Drew,R,1,CH,3,1,0,bip,grounder,2,gidp
04/06/24,High Point,Drew,R,2,FB,13,0,0,ball,,,
04/06/24,High Point,Drew,R,2,FB,11,0,0,ball,,,
04/06/24,High Point,Drew,R,2,FB,13,1,1,strike,swinging,,
04/06/24,High Point,Drew,R,2,CH,10,1,0,bip,grounder,1,go3
04/06/24,High Point,Drew,R,3,FB,13,1,1,strike,swinging,,
04/06/24,High Point,Drew,R,3,CH,12,1,0,foul,,,
04/06/24,High Point,Drew,R,3,FB,12,0,0,ball,,,
04/06/24,High Point,Drew,R,3,FB,1,1,0,bip,liner,6,double
04/06/24,High Point,Drew,R,4,CH,10,0,0,ball,,,
04/06/24,High Point,Drew,R,4,FB,13,0,0,ball,,,
04/06/24,High Point,Drew,R,4,CH,10,0,0,ball,,,
04/06/24,High Point,Drew,R,4,CH,1,0,0,strike,looking,,
04/06/24,High Point,Drew,R,4,FB,7,1,0,bip,fly,4,fo7
04/06/24,High Point,Drew,R,5,CB,5,0,0,strike,looking,,
04/06/24,High Point,Drew,R,5,FB,5,1,0,bip,grounder,3,single
05/06/24,Yorktown,Drew,R,1,CB,12,0,0,ball,,,
05/06/24,Yorktown,Drew,R,1,FB,10,0,0,ball,,,
05/06/24,Yorktown,Drew,R,1,FB,2,1,0,bip,fly,5,fo8
05/06/24,Yorktown,Drew,R,2,FB,10,0,0,ball,,,
05/06/24,Yorktown,Drew,R,2,FB,2,1,1,strike,swinging,,
05/06/24,Yorktown,Drew,R,2,FB,10,0,0,ball,,,
05/06/24,Yorktown,Drew,R,2,CH,8,1,0,bip,popup,8,po5
05/06/24,Yorktown,Drew,R,3,CH,6,0,0,strike,looking,,
05/06/24,Yorktown,Drew,R,3,FB,10,0,0,ball,,,
05/06/24,Yorktown,Drew,R,3,FB,11,1,0,foul,,,
05/06/24,Yorktown,Drew,R,3,CH,6,1,0,bip,grounder,2,single
05/06/24,Yorktown,Drew,R,4,FB,4,1,0,foul,,,
05/06/24,Yorktown,Drew,R,4,FB,1,1,0,bip,fly,6,fo9
11/06/24,Clayton,Drew,R,1,FB,6,1,0,bip,grounder,2,gidp
11/06/24,Clayton,Drew,R,2,FB,1,1,0,bip,fly,4,single
11/06/24,Clayton,Drew,L,3,FB,13,0,0,ball,,,
11/06/24,Clayton,Drew,L,3,FB,8,0,0,strike,looking,,
11/06/24,Clayton,Drew,L,3,FB,13,1,1,strike,swinging,,
11/06/24,Clayton,Drew,L,3,SL,7,1,0,bip,grounder,2,go4
11/06/24,Clayton,Drew,R,4,CB,10,0,0,ball,,,
11/06/24,Clayton,Drew,R,4,FB,5,1,1,strike,swinging,,
11/06/24,Clayton,Drew,R,4,FB,13,0,0,ball,,,
11/06/24,Clayton,Drew,R,4,FB,13,1,0,foul,,,
11/06/24,Clayton,Drew,R,4,CH,10,0,0,ball,,,
11/06/24,Clayton,Drew,R,4,FB,4,1,0,bip,grounder,3,go5
11/06/24,Clayton,Drew,R,5,CH,9,1,0,bip,popup,8,po6
18/06/24,Carolina,Drew,R,1,FB,10,0,0,ball,,,
18/06/24,Carolina,Drew,R,1,CB,9,0,0,strike,looking,,
18/06/24,Carolina,Drew,R,1,FB,13,0,0,ball,,,
18/06/24,Carolina,Drew,R,1,CB,4,0,0,strike,looking,,
18/06/24,Carolina,Drew,R,1,CH,3,1,0,foul,,,
18/06/24,Carolina,Drew,R,1,CB,13,1,1,strike,swinging,,k
18/06/24,Carolina,Drew,L,2,SL,12,0,0,ball,,,
18/06/24,Carolina,Drew,L,2,FB,13,0,0,ball,,,
18/06/24,Carolina,Drew,L,2,CB,12,1,1,strike,swinging,,
18/06/24,Carolina,Drew,L,2,CB,5,1,0,bip,grounder,2,single
18/06/24,Carolina,Drew,R,3,FB,12,0,0,ball,,,
18/06/24,Carolina,Drew,R,3,FB,9,0,0,strike,looking,,
18/06/24,Carolina,Drew,R,3,SL,13,0,0,ball,,,
18/06/24,Carolina,Drew,R,3,FB,4,1,1,strike,swinging,,
18/06/24,Carolina,Drew,R,3,FB,4,1,0,bip,grounder,3,go6
18/06/24,Carolina,Drew,R,4,FB,1,0,0,strike,looking,,
18/06/24,Carolina,Drew,R,4,CH,13,0,0,ball,,,
18/06/24,Carolina,Drew,R,4,FB,7,0,0,strike,looking,,
18/06/24,Carolina,Drew,R,4,CB,7,1,0,foul,,,
18/06/24,Carolina,Drew,R,4,CH,10,0,0,ball,,,
18/06/24,Carolina,Drew,R,4,FB,8,1,0,foul,,,
18/06/24,Carolina,Drew,R,4,CH,10,0,0,ball,,,
18/06/24,Carolina,Drew,R,4,CH,13,1,0,foul,,,
18/06/24,Carolina,Drew,R,4,FB,10,0,0,ball,walk,,
27/06/24,C. Pirates,Drew,R,1,FB,1,1,0,bip,fly,4,fo7
27/06/24,C. Pirates,Drew,R,2,FB,6,1,0,foul,,,
27/06/24,C. Pirates,Drew,R,2,CH,12,0,0,ball,,,
