date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
30/05/24,Danville,Driscoll,R,1,83,CH,10,0,0
30/05/24,Danville,Driscoll,R,1,,FB,6,0,0
30/05/24,Danville,Driscoll,R,1,,FB,10,1,1
30/05/24,Danville,Driscoll,R,1,86,FB,4,1,0
30/05/24,Danville,Driscoll,L,2,88,FB,10,0,0
30/05/24,Danville,Driscoll,L,2,88,FB,5,1,0
30/05/24,Danville,Driscoll,L,2,88,FB,13,0,0
30/05/24,Danville,Driscoll,L,2,88,FB,12,0,0
30/05/24,Danville,Driscoll,L,2,88,FB,8,1,1
30/05/24,Danville,Driscoll,L,2,86,FB,12,0,0
30/05/24,Danville,Driscoll,R,3,,SL,13,0,0
30/05/24,Danville,Driscoll,R,3,88,FB,12,0,0
30/05/24,Danville,Driscoll,R,3,87,FB,13,0,0
30/05/24,Danville,Driscoll,R,3,87,FB,4,0,0
30/05/24,Danville,Driscoll,R,3,86,FB,10,0,0
30/05/24,Danville,Driscoll,R,4,,FB,2,1,0
30/05/24,Danville,Driscoll,R,5,72,CB,12,0,0
30/05/24,Danville,Driscoll,R,5,83,FB,13,0,0
30/05/24,Danville,Driscoll,R,5,,SL,12,0,0
30/05/24,Danville,Driscoll,R,5,,FB,7,0,0
30/05/24,Danville,Driscoll,R,5,,CH,13,0,0
30/05/24,Danville,Driscoll,L,6,78,CB,13,0,0
30/05/24,Danville,Driscoll,L,6,86,FB,12,0,0
30/05/24,Danville,Driscoll,L,6,81,FB,4,0,0
30/05/24,Danville,Driscoll,L,6,85,FB,7,0,0
30/05/24,Danville,Driscoll,L,6,86,FB,5,1,0
30/05/24,Danville,Driscoll,L,6,77,CH,10,0,0
30/05/24,Danville,Driscoll,L,6,82,FB,13,0,0
18/06/24,Carolina,Driscoll,R,1,90,FB,4,1,0
18/06/24,Carolina,Driscoll,R,2,87,SL,10,0,0
18/06/24,Carolina,Driscoll,R,3,92,FB,13,0,0
18/06/24,Carolina,Driscoll,R,3,88,FB,5,1,0
18/06/24,Carolina,Driscoll,L,4,91,FB,13,0,0
18/06/24,Carolina,Driscoll,L,4,89,FB,11,1,10
18/06/24,Carolina,Driscoll,L,4,91,FB,13,0,0
18/06/24,Carolina,Driscoll,L,4,89,FB,13,0,0
18/06/24,Carolina,Driscoll,L,4,90,FB,9,1,1
18/06/24,Carolina,Driscoll,L,4,89,FB,7,1,0
18/06/24,Carolina,Driscoll,R,5,89,FB,5,0,0
18/06/24,Carolina,Driscoll,R,5,89,FB,10,0,0
18/06/24,Carolina,Driscoll,R,5,,FB,8,1,1
18/06/24,Carolina,Driscoll,R,5,90,FB,8,1,0
18/06/24,Carolina,Driscoll,R,5,91,FB,12,0,0
18/06/24,Carolina,Driscoll,R,5,90,FB,13,0,0
18/06/24,Carolina,Driscoll,R,5,87,FB,13,0,0
18/06/24,Carolina,Driscoll,R,6,79,CB,10,0,0
18/06/24,Carolina,Driscoll,R,6,88,FB,12,0,0
18/06/24,Carolina,Driscoll,R,6,,FB,2,1,1
18/06/24,Carolina,Driscoll,R,6,87,FB,1,1,1
18/06/24,Carolina,Driscoll,R,6,86,SL,10,1,1
