date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
30/05/24,Danville,Elliott,R,1,86,FB,4,0,0
30/05/24,Danville,Elliott,R,1,78,CH,8,0,0
30/05/24,Danville,Elliott,R,1,80,CH,12,0,0
30/05/24,Danville,Elliott,R,1,87,FB,1,1,0
30/05/24,Danville,Elliott,R,1,65,CB,10,0,0
30/05/24,Danville,Elliott,R,1,74,CH,4,1,0
30/05/24,Danville,Elliott,R,2,,FB,10,0,0
30/05/24,Danville,Elliott,R,3,,FB,12,0,0
30/05/24,Danville,Elliott,R,3,70,CB,5,0,0
30/05/24,Danville,Elliott,R,3,71,CH,6,1,0
30/05/24,Danville,Elliott,R,4,,FB,6,0,0
30/05/24,Danville,Elliott,R,4,72,SL,5,1,0
30/05/24,Danville,Elliott,R,4,83,FB,8,0,0
30/05/24,Danville,Elliott,R,4,,FB,5,0,0
30/05/24,Danville,Elliott,R,4,73,SL,6,1,1
30/05/24,Danville,Elliott,L,5,84,FB,12,0,0
30/05/24,Danville,Elliott,L,5,85,FB,4,0,0
30/05/24,Danville,Elliott,L,5,77,CH,12,0,0
30/05/24,Danville,Elliott,L,5,76,CH,12,0,0
30/05/24,Danville,Elliott,L,5,75,SL,8,0,0
30/05/24,Danville,Elliott,L,5,78,CH,12,0,0
30/05/24,Danville,Elliott,R,6,71,CB,7,0,0
30/05/24,Danville,Elliott,R,6,,CB,12,1,1
30/05/24,Danville,Elliott,R,6,72,CB,4,1,0
30/05/24,Danville,Elliott,R,6,84,FB,7,1,1
30/05/24,Danville,Elliott,R,7,85,FB,13,0,0
30/05/24,Danville,Elliott,R,7,71,CB,9,1,1
30/05/24,Danville,Elliott,R,7,73,SL,6,1,0
30/05/24,Danville,Elliott,R,8,,SL,11,0,0
30/05/24,Danville,Elliott,R,8,,SL,13,0,0
30/05/24,Danville,Elliott,R,8,71,SL,5,0,0
30/05/24,Danville,Elliott,R,8,,FB,1,1,1
30/05/24,Danville,Elliott,R,8,76,SL,5,1,0
30/05/24,Danville,Elliott,L,9,79,CH,13,0,0
30/05/24,Danville,Elliott,L,9,77,CH,13,0,0
30/05/24,Danville,Elliott,L,9,76,SL,11,0,0
30/05/24,Danville,Elliott,L,9,85,FB,4,0,0
30/05/24,Danville,Elliott,L,9,74,SL,7,0,0
30/05/24,Danville,Elliott,L,9,79,CH,12,0,0
30/05/24,Danville,Elliott,R,10,,FB,9,1,0
30/05/24,Danville,Elliott,R,10,,CB,7,0,0
30/05/24,Danville,Elliott,R,10,72,SL,8,1,0
30/05/24,Danville,Elliott,R,11,,FB,7,1,1
30/05/24,Danville,Elliott,R,11,,FB,8,1,0
30/05/24,Danville,Elliott,R,12,81,FB,6,1,0
30/05/24,Danville,Elliott,L,13,81,FB,13,0,0
30/05/24,Danville,Elliott,L,13,75,SL,4,0,0
30/05/24,Danville,Elliott,L,13,74,SL,12,0,0
30/05/24,Danville,Elliott,L,13,77,CH,10,0,0
30/05/24,Danville,Elliott,L,13,73,SL,4,1,0
30/05/24,Danville,Elliott,L,13,85,FB,5,1,0
30/05/24,Danville,Elliott,L,13,77,CH,1,0,0
30/05/24,Danville,Elliott,R,14,84,FB,11,0,0
30/05/24,Danville,Elliott,R,14,71,SL,7,0,0
30/05/24,Danville,Elliott,R,14,,FB,9,1,0
30/05/24,Danville,Elliott,R,14,73,SL,13,0,0
30/05/24,Danville,Elliott,R,14,71,CB,12,0,0
30/05/24,Danville,Elliott,R,14,,FB,5,1,0
05/06/24,Yorktown,Elliott,L,1,83,FB,8,0,0
05/06/24,Yorktown,Elliott,L,1,73,CH,7,0,0
05/06/24,Yorktown,Elliott,L,1,87,FB,13,0,0
05/06/24,Yorktown,Elliott,L,1,73,CB,10,0,0
05/06/24,Yorktown,Elliott,L,1,83,FB,5,1,0
05/06/24,Yorktown,Elliott,L,2,84,FB,6,1,1
05/06/24,Yorktown,Elliott,L,2,85,FB,12,1,0
05/06/24,Yorktown,Elliott,L,2,84,FB,9,1,0
05/06/24,Yorktown,Elliott,L,3,74,CH,10,0,0
05/06/24,Yorktown,Elliott,L,3,85,FB,6,0,0
05/06/24,Yorktown,Elliott,L,3,77,CH,10,0,0
05/06/24,Yorktown,Elliott,L,3,78,CH,13,0,0
05/06/24,Yorktown,Elliott,R,4,86,FB,5,0,0
05/06/24,Yorktown,Elliott,R,4,76,CH,11,1,1
05/06/24,Yorktown,Elliott,R,4,74,SL,13,0,0
05/06/24,Yorktown,Elliott,R,4,,SL,4,1,1
05/06/24,Yorktown,Elliott,R,5,,FB,12,0,0
05/06/24,Yorktown,Elliott,R,5,86,FB,6,0,0
05/06/24,Yorktown,Elliott,R,5,74,SL,13,0,0
05/06/24,Yorktown,Elliott,R,5,73,SL,13,1,0
05/06/24,Yorktown,Elliott,R,6,72,SL,13,1,1
05/06/24,Yorktown,Elliott,R,6,84,FB,11,0,0
05/06/24,Yorktown,Elliott,R,6,75,CH,8,0,0
05/06/24,Yorktown,Elliott,R,6,84,FB,8,1,0
05/06/24,Yorktown,Elliott,R,7,84,FB,3,1,1
05/06/24,Yorktown,Elliott,R,7,73,CH,11,0,0
05/06/24,Yorktown,Elliott,R,7,73,SL,13,0,0
05/06/24,Yorktown,Elliott,R,7,81,FB,1,1,0
05/06/24,Yorktown,Elliott,R,7,71,CB,6,1,1
15/06/24,Burlington,Elliott,R,1,63,CB,6,1,0
15/06/24,Burlington,Elliott,L,2,75,CH,10,0,0
15/06/24,Burlington,Elliott,L,2,79,CH,10,0,0
15/06/24,Burlington,Elliott,L,2,87,FB,10,0,0
15/06/24,Burlington,Elliott,L,2,84,FB,3,0,0
15/06/24,Burlington,Elliott,L,2,83,FB,4,1,0
15/06/24,Burlington,Elliott,R,3,84,FB,6,0,0
15/06/24,Burlington,Elliott,R,3,72,SL,13,1,1
15/06/24,Burlington,Elliott,R,3,74,SL,11,1,1
15/06/24,Burlington,Elliott,R,3,73,SL,8,0,0
15/06/24,Burlington,Elliott,R,3,87,FB,6,0,0
15/06/24,Burlington,Elliott,R,3,,SL,3,1,0
15/06/24,Burlington,Elliott,R,3,74,SL,5,1,0
15/06/24,Burlington,Elliott,R,4,,FB,13,0,0
15/06/24,Burlington,Elliott,R,4,,FB,1,1,0
15/06/24,Burlington,Elliott,R,4,74,SL,9,1,0
15/06/24,Burlington,Elliott,R,4,71,SL,2,1,0
15/06/24,Burlington,Elliott,R,5,81,CH,3,0,0
15/06/24,Burlington,Elliott,R,5,83,FB,11,0,0
15/06/24,Burlington,Elliott,R,5,74,CB,7,0,0
15/06/24,Burlington,Elliott,R,5,71,CB,12,0,0
15/06/24,Burlington,Elliott,R,5,80,CH,13,0,0
15/06/24,Burlington,Elliott,R,5,78,CH,9,0,0
15/06/24,Burlington,Elliott,L,6,76,CH,4,1,1
15/06/24,Burlington,Elliott,L,6,85,FB,3,0,0
15/06/24,Burlington,Elliott,L,6,78,CH,12,0,0
15/06/24,Burlington,Elliott,L,6,75,SL,6,1,1
15/06/24,Burlington,Elliott,R,7,82,FB,8,1,1
15/06/24,Burlington,Elliott,R,7,70,CB,6,1,1
15/06/24,Burlington,Elliott,R,7,74,SL,5,1,0
15/06/24,Burlington,Elliott,R,8,,CH,12,0,0
15/06/24,Burlington,Elliott,R,8,84,FB,5,0,0
15/06/24,Burlington,Elliott,R,8,82,CH,4,1,0
15/06/24,Burlington,Elliott,R,9,,FB,7,0,0
15/06/24,Burlington,Elliott,L,10,77,SL,13,0,0
15/06/24,Burlington,Elliott,L,10,75,CH,5,1,1
15/06/24,Burlington,Elliott,L,10,78,CH,8,1,0
15/06/24,Burlington,Elliott,R,11,,FB,13,1,1
15/06/24,Burlington,Elliott,R,11,75,SL,6,1,0
15/06/24,Burlington,Elliott,R,12,,CB,12,1,1
15/06/24,Burlington,Elliott,R,12,,SL,11,1,1
15/06/24,Burlington,Elliott,R,12,74,SL,11,1,1
15/06/24,Burlington,Elliott,R,13,85,FB,5,0,0
15/06/24,Burlington,Elliott,R,13,75,CH,13,0,0
15/06/24,Burlington,Elliott,R,13,72,CB,7,1,1
15/06/24,Burlington,Elliott,R,13,74,SL,8,1,0
15/06/24,Burlington,Elliott,R,14,,FB,9,1,0
15/06/24,Burlington,Elliott,R,14,76,SL,13,0,0
15/06/24,Burlington,Elliott,R,14,78,CH,13,0,0
15/06/24,Burlington,Elliott,R,14,,FB,11,0,0
15/06/24,Burlington,Elliott,R,14,71,CB,4,0,0
15/06/24,Burlington,Elliott,R,14,71,CB,12,0,0
15/06/24,Burlington,Elliott,L,15,85,FB,2,1,0
15/06/24,Burlington,Elliott,R,16,74,SL,3,0,0
15/06/24,Burlington,Elliott,R,16,75,CB,5,1,0
15/06/24,Burlington,Elliott,R,17,73,SL,11,0,0
