date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
27/06/24,C. Pirates,Gardner,R,1,FB,1,1,0,bip,fly,6,fo9
27/06/24,C. Pirates,Gardner,R,2,CH,10,0,0,ball,hbp,,
27/06/24,C. Pirates,Gardner,R,3,FB,2,1,0,bip,liner,4,single
27/06/24,C. Pirates,Gardner,R,4,FB,1,1,0,bip,popup,1,po3
02/07/24,Clayton,Gardner,R,1,CH,4,1,0,bip,grounder,6,single
02/07/24,Clayton,Gardner,R,2,FB,12,0,0,ball,walk,,
02/07/24,Clayton,Gardner,L,3,CH,10,1,0,bip,grounder,3,go5
02/07/24,Clayton,Gardner,L,4,CH,10,0,0,ball,hbp,,
03/07/24,Tarboro,Gardner,R,1,FB,6,1,1,strike,swinging,,k
11/07/24,C. Pirates,Gardner,R,1,FB,8,1,0,bip,grounder,6,single
11/07/24,C. Pirates,Gardner,R,2,FB,12,0,0,ball,walk,,
11/07/24,C. Pirates,Gardner,R,3,CB,9,0,0,strike,looking,,kk
11/07/24,C. Pirates,Gardner,R,4,FB,12,0,0,ball,walk,,
11/07/24,C. Pirates,Gardner,R,5,FB,13,0,0,ball,walk,,
17/07/24,High Point,Gardner,R,1,FB,12,0,0,ball,walk,,
17/07/24,High Point,Gardner,R,2,SL,3,1,0,bip,popup,5,po6
06/07/24,High Point,Gardner,R,1,CB,10,0,0,ball,hbp,,
06/07/24,High Point,Gardner,R,2,CB,13,0,0,ball,walk,,
06/07/24,High Point,Gardner,R,3,SL,3,1,0,bip,popup,2,po4
