date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
15/06/24,Burlington,Garrett,R,1,SL,6,0,0,strike,looking,,
15/06/24,Burlington,Garrett,R,1,SL,7,1,0,bip,grounder,3,fc
15/06/24,Burlington,Garrett,R,2,FB,2,1,0,bip,grounder,1,sb1
15/06/24,Burlington,Garrett,R,3,CB,9,0,0,strike,looking,,
15/06/24,Burlington,Garrett,R,3,FB,3,1,0,bip,fly,4,single
15/06/24,Burlington,Garrett,R,4,FB,4,1,0,bip,grounder,3,sh5
05/06/24,Yorktown,Garrett,R,1,CH,1,0,0,strike,looking,,
05/06/24,Yorktown,Garrett,R,1,FB,13,1,1,strike,swinging,,
05/06/24,Yorktown,Garrett,R,1,FB,13,0,0,ball,,,
05/06/24,Yorktown,Garrett,R,1,CB,6,0,0,strike,looking,,kk
05/06/24,Yorktown,Garrett,R,2,SL,13,0,0,ball,,,
05/06/24,Yorktown,Garrett,R,2,FB,11,0,0,ball,,,
05/06/24,Yorktown,Garrett,R,2,FB,1,1,0,bip,popup,1,po3
05/06/24,Yorktown,Garrett,R,3,FB,5,1,0,bip,fly,5,fo8
05/06/24,Yorktown,Garrett,L,4,SL,13,0,0,ball,,,
05/06/24,Yorktown,Garrett,L,4,SL,6,0,0,strike,looking,,
05/06/24,Yorktown,Garrett,L,4,SL,13,0,0,ball,,,
05/06/24,Yorktown,Garrett,L,4,CH,13,0,0,ball,,,
05/06/24,Yorktown,Garrett,L,4,FB,5,1,0,bip,grounder,5,single
28/05/24,Carolina,Garrett,R,1,FB,13,0,0,ball,,,
28/05/24,Carolina,Garrett,R,1,FB,5,1,0,bip,liner,6,lo9
30/05/24,Danville,Garrett,R,1,SL,4,0,0,strike,looking,,
30/05/24,Danville,Garrett,R,1,SL,5,1,1,strike,swinging,,
30/05/24,Danville,Garrett,R,1,FB,9,1,1,strike,swinging,,k
30/05/24,Danville,Garrett,R,2,FB,4,1,0,bip,grounder,3,go5
30/05/24,Danville,Garrett,R,3,FB,10,1,0,foul,,,
30/05/24,Danville,Garrett,R,3,FB,13,0,0,ball,,,
30/05/24,Danville,Garrett,R,3,FB,2,1,0,bip,popup,2,po4
30/05/24,Danville,Garrett,R,4,FB,6,1,0,foul,,,
30/05/24,Danville,Garrett,R,4,CH,10,0,0,ball,,,
30/05/24,Danville,Garrett,R,4,FB,6,0,0,strike,looking,,
30/05/24,Danville,Garrett,R,4,CH,8,1,0,foul,,,
30/05/24,Danville,Garrett,R,4,FB,1,1,0,foul,,,
30/05/24,Danville,Garrett,R,4,CH,12,1,1,strike,swinging,,k
30/05/24,Danville,Garrett,R,5,CH,7,0,0,strike,looking,,
30/05/24,Danville,Garrett,R,5,FB,6,1,0,bip,grounder,1,roe
18/06/24,Carolina,Garrett,R,1,CB,11,0,0,ball,,,
18/06/24,Carolina,Garrett,R,1,FB,1,1,0,foul,,,
18/06/24,Carolina,Garrett,R,1,CB,10,0,0,ball,,,
18/06/24,Carolina,Garrett,R,1,CH,3,1,0,bip,grounder,3,go5
18/06/24,Carolina,Garrett,L,2,FB,11,0,0,ball,,,
18/06/24,Carolina,Garrett,L,2,CH,11,0,0,ball,,,
18/06/24,Carolina,Garrett,L,2,CH,11,0,0,ball,,,
18/06/24,Carolina,Garrett,L,2,FB,13,0,0,ball,walk,,
18/06/24,Carolina,Garrett,R,3,CH,6,1,0,bip,fly,6,fo4
18/06/24,Carolina,Garrett,R,4,FB,13,0,0,ball,,,
18/06/24,Carolina,Garrett,R,4,FB,12,0,0,ball,,,
18/06/24,Carolina,Garrett,R,4,FB,7,0,0,strike,looking,,
18/06/24,Carolina,Garrett,R,4,CH,7,1,1,strike,swinging,,
18/06/24,Carolina,Garrett,R,4,SL,13,1,1,strike,swinging,,k
21/06/24,Oak City,Garrett,R,1,CB,13,0,0,ball,,,
21/06/24,Oak City,Garrett,R,1,FB,5,0,0,strike,looking,,
21/06/24,Oak City,Garrett,R,1,CH,1,1,0,foul,,,
21/06/24,Oak City,Garrett,R,1,FB,2,1,0,bip,grounder,1,go3
21/06/24,Oak City,Garrett,R,2,CB,5,0,0,strike,looking,,
21/06/24,Oak City,Garrett,R,2,FB,10,0,0,ball,,,
21/06/24,Oak City,Garrett,R,2,FB,6,1,0,bip,grounder,3,go5
21/06/24,Oak City,Garrett,R,3,CB,4,0,0,strike,looking,,
21/06/24,Oak City,Garrett,R,3,CB,12,0,0,ball,,,
21/06/24,Oak City,Garrett,R,3,FB,10,1,1,strike,swinging,,
21/06/24,Oak City,Garrett,R,3,CH,12,0,0,ball,,,
21/06/24,Oak City,Garrett,R,3,CB,4,1,0,foul,,,
21/06/24,Oak City,Garrett,R,3,FB,2,1,0,bip,grounder,2,go1
21/06/24,Oak City,Garrett,R,4,FB,6,1,0,foul,,,
21/06/24,Oak City,Garrett,R,4,CH,13,0,0,ball,,,
21/06/24,Oak City,Garrett,R,4,CB,1,1,0,bip,grounder,3,sb1
21/06/24,Oak City,Garrett,R,5,FB,3,0,0,strike,looking,,
21/06/24,Oak City,Garrett,R,5,CH,13,0,0,ball,,,
21/06/24,Oak City,Garrett,R,5,SL,13,1,1,strike,swinging,,
21/06/24,Oak City,Garrett,R,5,FB,12,1,1,strike,swinging,,k
27/06/24,C. Pirates,Garrett,R,1,FB,13,0,0,ball,,,
27/06/24,C. Pirates,Garrett,R,1,CH,8,0,0,strike,looking,,
27/06/24,C. Pirates,Garrett,R,1,FB,10,0,0,ball,,,
27/06/24,C. Pirates,Garrett,R,1,FB,2,1,0,bip,grounder,3,single
27/06/24,C. Pirates,Garrett,R,2,CH,6,0,0,strike,looking,,
27/06/24,C. Pirates,Garrett,R,2,CB,13,1,1,strike,swinging,,
27/06/24,C. Pirates,Garrett,R,2,CB,10,1,0,foul,,,
27/06/24,C. Pirates,Garrett,R,2,FB,10,0,0,ball,hbp,,
27/06/24,C. Pirates,Garrett,R,3,FB,3,1,0,foul,,,
27/06/24,C. Pirates,Garrett,R,3,FB,3,1,0,bip,fly,6,roe
27/06/24,C. Pirates,Garrett,R,4,CH,10,0,0,ball,,,
27/06/24,C. Pirates,Garrett,R,4,CH,10,0,0,ball,,,
27/06/24,C. Pirates,Garrett,R,4,FB,9,0,0,strike,looking,,
27/06/24,C. Pirates,Garrett,R,4,FB,12,0,0,ball,,,
27/06/24,C. Pirates,Garrett,R,4,FB,1,1,0,foul,,,
27/06/24,C. Pirates,Garrett,R,4,CH,10,0,0,ball,hbp,,
02/07/24,Clayton,Garrett,R,1,FB,13,0,0,ball,,,
02/07/24,Clayton,Garrett,R,1,FB,1,1,0,foul,,,
02/07/24,Clayton,Garrett,R,1,CH,2,1,0,foul,,,
02/07/24,Clayton,Garrett,R,1,CB,9,1,0,strike,looking,,kk
02/07/24,Clayton,Garrett,R,2,FB,13,0,0,ball,,,
02/07/24,Clayton,Garrett,R,2,CB,9,1,1,strike,swinging,,
02/07/24,Clayton,Garrett,R,2,CH,12,0,0,ball,,,
02/07/24,Clayton,Garrett,R,2,FB,10,0,0,ball,hbp,,
02/07/24,Clayton,Garrett,L,3,FB,13,0,0,ball,,,
