date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
18/06/24,Carolina,Garrett,R,1,71,FB,13,0,0
18/06/24,Carolina,Garrett,R,1,71,FB,6,0,0
18/06/24,Carolina,Garrett,R,1,71,FB,10,0,0
18/06/24,Carolina,Garrett,R,1,70,FB,9,1,0
18/06/24,Carolina,Garrett,R,1,74,FB,3,1,0
18/06/24,Carolina,Garrett,R,1,67,CB,10,0,0
18/06/24,Carolina,Garrett,R,1,,FB,12,0,0
18/06/24,Carolina,Garrett,L,2,70,FB,11,0,0
18/06/24,Carolina,Garrett,L,2,67,CH,10,0,0
18/06/24,Carolina,Garrett,L,3,69,FB,8,0,0
18/06/24,Carolina,Garrett,L,3,68,CH,10,0,0
18/06/24,Carolina,Garrett,L,3,58,CB,10,0,0
18/06/24,Carolina,Garrett,L,3,65,CH,4,1,1
18/06/24,Carolina,Garrett,L,3,74,FB,13,0,0
18/06/24,Carolina,Garrett,L,3,70,FB,4,1,1
18/06/24,Carolina,Garrett,R,4,73,FB,6,0,0
18/06/24,Carolina,Garrett,R,4,71,FB,13,0,0
18/06/24,Carolina,Garrett,R,4,70,FB,11,0,0
18/06/24,Carolina,Garrett,R,4,71,FB,13,0,0
18/06/24,Carolina,Garrett,R,4,71,FB,1,1,0
18/06/24,Carolina,Garrett,R,4,,FB,4,1,0
18/06/24,Carolina,Garrett,R,5,,CH,10,0,0
18/06/24,Carolina,Garrett,R,5,72,FB,6,0,0
18/06/24,Carolina,Garrett,R,5,72,FB,11,0,0
18/06/24,Carolina,Garrett,R,5,,FB,13,0,0
18/06/24,Carolina,Garrett,R,5,72,FB,11,0,0
18/06/24,Carolina,Garrett,R,6,70,FB,11,0,0
18/06/24,Carolina,Garrett,R,6,67,CH,11,0,0
18/06/24,Carolina,Garrett,R,6,71,FB,11,1,0
18/06/24,Carolina,Garrett,R,6,71,FB,2,1,0
18/06/24,Carolina,Garrett,R,7,69,CH,9,0,0
18/06/24,Carolina,Garrett,R,7,70,FB,11,0,0
18/06/24,Carolina,Garrett,R,7,53,CB,5,1,0
18/06/24,Carolina,Garrett,R,7,68,SL,13,0,0
18/06/24,Carolina,Garrett,R,7,71,FB,1,1,0
18/06/24,Carolina,Garrett,R,7,77,FB,2,1,0
18/06/24,Carolina,Garrett,R,7,,CH,10,0,0
18/06/24,Carolina,Garrett,R,7,68,CH,3,1,0
18/06/24,Carolina,Garrett,R,7,72,FB,2,1,0
11/07/24,C. Pirates,Garrett,R,1,,FB,13,0,0
11/07/24,C. Pirates,Garrett,R,1,64,CB,13,0,0
11/07/24,C. Pirates,Garrett,R,1,64,CB,1,1,0
11/07/24,C. Pirates,Garrett,R,2,64,CH,11,0,0
11/07/24,C. Pirates,Garrett,R,2,70,FB,9,0,0
11/07/24,C. Pirates,Garrett,R,2,68,FB,3,0,0
11/07/24,C. Pirates,Garrett,R,2,57,CB,5,1,0
11/07/24,C. Pirates,Garrett,R,2,,SL,13,0,0
11/07/24,C. Pirates,Garrett,R,2,67,FB,6,1,0
11/07/24,C. Pirates,Garrett,R,3,62,CH,5,1,0
11/07/24,C. Pirates,Garrett,R,4,61,CH,11,0,0
11/07/24,C. Pirates,Garrett,R,4,66,FB,6,0,0
11/07/24,C. Pirates,Garrett,R,4,65,FB,6,1,1
11/07/24,C. Pirates,Garrett,R,4,54,CB,10,0,0
11/07/24,C. Pirates,Garrett,R,4,70,FB,2,1,0
11/07/24,C. Pirates,Garrett,R,4,67,FB,11,1,1
11/07/24,C. Pirates,Garrett,R,5,66,FB,5,0,0
11/07/24,C. Pirates,Garrett,R,5,69,FB,13,0,0
11/07/24,C. Pirates,Garrett,R,5,64,CH,4,1,0
11/07/24,C. Pirates,Garrett,R,6,68,FB,6,1,1
11/07/24,C. Pirates,Garrett,R,6,71,FB,11,0,0
11/07/24,C. Pirates,Garrett,R,6,69,FB,11,0,0
11/07/24,C. Pirates,Garrett,R,6,65,CH,6,1,0
11/07/24,C. Pirates,Garrett,R,6,69,FB,10,0,0
11/07/24,C. Pirates,Garrett,R,6,66,CH,10,0,0
11/07/24,C. Pirates,Garrett,R,7,64,CH,11,0,0
11/07/24,C. Pirates,Garrett,R,7,66,CH,2,1,0
11/07/24,C. Pirates,Garrett,R,7,65,CH,13,0,0
11/07/24,C. Pirates,Garrett,R,7,63,CH,2,0,0
11/07/24,C. Pirates,Garrett,R,7,66,SL,13,1,0
11/07/24,C. Pirates,Garrett,R,7,53,CB,5,1,0
