date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
15/06/24,Burlington,Garrett,R,1,SL,7,1,0,bip,grounder,3,fc
15/06/24,Burlington,Garrett,R,2,FB,2,1,0,bip,grounder,1,sb1
15/06/24,Burlington,Garrett,R,3,FB,3,1,0,bip,fly,4,single
15/06/24,Burlington,Garrett,R,4,FB,4,1,0,bip,grounder,3,sh5
05/06/24,Yorktown,Garrett,R,1,CB,6,0,0,strike,looking,,kk
05/06/24,Yorktown,Garrett,R,2,FB,1,1,0,bip,popup,1,po3
05/06/24,Yorktown,Garrett,R,3,FB,5,1,0,bip,fly,5,fo8
05/06/24,Yorktown,Garrett,L,4,FB,5,1,0,bip,grounder,5,single
28/05/24,Carolina,Garrett,R,1,FB,5,1,0,bip,liner,6,lo9
30/05/24,Danville,Garrett,R,1,FB,9,1,1,strike,swinging,,k
30/05/24,Danville,Garrett,R,2,FB,4,1,0,bip,grounder,3,go5
30/05/24,Danville,Garrett,R,3,FB,2,1,0,bip,popup,2,po4
30/05/24,Danville,Garrett,R,4,CH,12,1,1,strike,swinging,,k
30/05/24,Danville,Garrett,R,5,FB,6,1,0,bip,grounder,1,roe
18/06/24,Carolina,Garrett,R,1,CH,3,1,0,bip,grounder,3,go5
18/06/24,Carolina,Garrett,L,2,FB,13,0,0,ball,walk,,
18/06/24,Carolina,Garrett,R,3,CH,6,1,0,bip,fly,6,fo4
18/06/24,Carolina,Garrett,R,4,SL,13,1,1,strike,swinging,,k
21/06/24,Oak City,Garrett,R,1,FB,2,1,0,bip,grounder,1,go3
21/06/24,Oak City,Garrett,R,2,FB,6,1,0,bip,grounder,3,go5
21/06/24,Oak City,Garrett,R,3,FB,2,1,0,bip,grounder,2,go1
21/06/24,Oak City,Garrett,R,4,CB,1,1,0,bip,grounder,3,sb1
21/06/24,Oak City,Garrett,R,5,FB,12,1,1,strike,swinging,,k
27/06/24,C. Pirates,Garrett,R,1,FB,2,1,0,bip,grounder,3,single
27/06/24,C. Pirates,Garrett,R,2,FB,10,0,0,ball,hbp,,
27/06/24,C. Pirates,Garrett,R,3,FB,3,1,0,bip,fly,6,roe
27/06/24,C. Pirates,Garrett,R,4,CH,10,0,0,ball,hbp,,
02/07/24,Clayton,Garrett,R,1,CB,9,1,0,strike,looking,,kk
02/07/24,Clayton,Garrett,R,2,FB,10,0,0,ball,hbp,,
02/07/24,Clayton,Garrett,L,3,CB,10,0,0,ball,walk,,
02/07/24,Clayton,Garrett,L,4,CH,8,0,0,strike,looking,,kk
03/07/24,Tarboro,Garrett,R,1,CB,12,0,0,ball,walk,,
03/07/24,Tarboro,Garrett,R,2,FB,11,1,1,strike,swinging,,k
10/07/24,Clayton,Garrett,R,1,FB,2,1,0,bip,popup,1,po3
10/07/24,Clayton,Garrett,R,2,FB,11,1,0,bip,grounder,4,single
11/07/24,C. Pirates,Garrett,R,1,FB,2,1,0,bip,fly,4,fo7
11/07/24,C. Pirates,Garrett,R,3,FB,3,1,0,bip,fly,4,fo7
11/07/24,C. Pirates,Garrett,R,4,FB,10,0,0,ball,walk,,
11/07/24,C. Pirates,Garrett,R,5,FB,10,0,0,ball,hbp,,
16/07/24,Oak City,Garrett,R,1,CH,1,1,0,bip,fly,4,fo7
16/07/24,Oak City,Garrett,R,2,FB,6,0,0,strike,looking,,kk
16/07/24,Oak City,Garrett,R,3,FB,11,0,0,ball,walk,,
16/07/24,Oak City,Garrett,R,4,FB,10,1,0,bip,grounder,1,sb1
17/07/24,High Point,Garrett,R,1,FB,11,0,0,ball,walk,,
17/07/24,High Point,Garrett,R,2,SL,13,1,1,strike,swinging,,k
17/07/24,High Point,Garrett,L,3,FB,5,1,0,bip,liner,2,lo1
