date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
27/06/24,C. Pirates,Ghuliani,L,1,85,FB,3,1,0
27/06/24,C. Pirates,Ghuliani,L,1,85,FB,6,0,0
27/06/24,C. Pirates,Ghuliani,L,1,,FB,11,0,0
27/06/24,C. Pirates,Ghuliani,R,2,84,FB,5,1,0
27/06/24,C. Pirates,Ghuliani,R,3,81,CH,2,0,0
27/06/24,C. Pirates,Ghuliani,R,3,83,FB,4,1,0
27/06/24,C. Pirates,Ghuliani,R,3,86,FB,13,0,0
27/06/24,C. Pirates,Ghuliani,R,3,75,CB,5,0,0
27/06/24,C. Pirates,Ghuliani,R,4,82,FB,11,0,0
27/06/24,C. Pirates,Ghuliani,R,4,80,CH,9,1,0
27/06/24,C. Pirates,Ghuliani,R,4,71,CB,7,0,0
27/06/24,C. Pirates,Ghuliani,R,4,82,FB,13,0,0
27/06/24,C. Pirates,Ghuliani,R,4,72,CB,13,0,0
27/06/24,C. Pirates,Ghuliani,R,4,82,FB,4,1,0
27/06/24,C. Pirates,Ghuliani,R,5,,FB,12,0,0
27/06/24,C. Pirates,Ghuliani,R,5,80,CH,6,1,0
27/06/24,C. Pirates,Ghuliani,R,5,83,FB,12,1,0
27/06/24,C. Pirates,Ghuliani,R,5,78,CH,2,1,0
27/06/24,C. Pirates,Ghuliani,R,6,82,FB,5,0,0
27/06/24,C. Pirates,Ghuliani,R,6,76,SL,6,1,0
27/06/24,C. Pirates,Ghuliani,R,6,79,CH,11,0,0
27/06/24,C. Pirates,Ghuliani,R,6,80,CH,6,1,1
27/06/24,C. Pirates,Ghuliani,R,7,83,FB,8,1,0
27/06/24,C. Pirates,Ghuliani,R,7,71,CB,11,0,0
27/06/24,C. Pirates,Ghuliani,R,7,80,CH,2,1,0
27/06/24,C. Pirates,Ghuliani,R,7,74,SL,6,0,0
27/06/24,C. Pirates,Ghuliani,R,8,85,FB,12,0,0
27/06/24,C. Pirates,Ghuliani,R,8,82,FB,7,1,1
27/06/24,C. Pirates,Ghuliani,R,8,80,CH,8,1,0
27/06/24,C. Pirates,Ghuliani,R,8,83,FB,3,1,0
27/06/24,C. Pirates,Ghuliani,R,9,83,FB,11,0,0
27/06/24,C. Pirates,Ghuliani,R,9,84,FB,11,1,0
