date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
15/06/24,Burlington,Granata,R,1,CH,10,0,0,ball,walk,,
15/06/24,Burlington,Granata,R,2,FB,6,1,0,bip,fly,6,roe
15/06/24,Burlington,Granata,R,3,SL,13,0,0,ball,walk,,
15/06/24,Burlington,Granata,R,4,CH,12,1,0,bip,grounder,4,single
28/05/24,Carolina,Granata,R,1,FB,4,1,0,bip,grounder,3,single
28/05/24,Carolina,Granata,R,2,FB,8,1,0,bip,fly,5,fo8
28/05/24,Carolina,Granata,R,3,FB,1,1,0,bip,grounder,3,go6
30/05/24,Danville,Granata,R,1,SL,6,0,0,strike,looking,,kk
30/05/24,Danville,Granata,R,2,SL,4,1,0,bip,grounder,2,go6
30/05/24,Danville,Granata,R,3,FB,11,0,0,ball,walk,,
30/05/24,Danville,Granata,R,4,FB,5,1,0,bip,fly,4,fo6
30/05/24,Danville,Granata,R,5,FB,12,0,0,ball,walk,,
04/06/24,High Point,Granata,R,1,CB,1,1,0,bip,liner,4,single
04/06/24,High Point,Granata,R,2,FB,6,1,0,bip,liner,6,single
04/06/24,High Point,Granata,R,3,FB,10,0,0,ball,walk,,
04/06/24,High Point,Granata,R,4,FB,3,1,0,bip,popup,3,po6
04/06/24,High Point,Granata,L,5,FB,5,1,0,bip,liner,5,lo8
04/06/24,High Point,Granata,R,1,FB,1,1,0,bip,fly,4,single
04/06/24,High Point,Granata,R,2,CH,9,1,1,strike,swinging,,k
04/06/24,High Point,Granata,R,3,FB,5,1,0,bip,grounder,3,go5
07/06/24,Reidsville,Granata,R,1,FB,13,0,0,ball,walk,,
07/06/24,Reidsville,Granata,R,2,CH,7,1,0,bip,fly,4,sf7
07/06/24,Reidsville,Granata,R,3,FB,7,1,0,bip,fly,4,fo7
07/06/24,Reidsville,Granata,L,4,FB,10,0,0,ball,hbp,,
11/06/24,Clayton,Granata,R,1,SL,4,1,0,bip,fly,3,fo6
11/06/24,Clayton,Granata,R,2,SL,4,1,0,bip,grounder,2,go6
11/06/24,Clayton,Granata,L,3,FB,3,1,1,strike,swinging,,k
11/06/24,Clayton,Granata,R,4,FB,13,0,0,ball,walk,,
21/06/24,Oak City,Granata,R,1,CH,1,1,0,bip,grounder,3,roe
21/06/24,Oak City,Granata,R,2,CB,3,1,0,bip,grounder,2,go4
21/06/24,Oak City,Granata,R,3,CH,5,1,0,bip,grounder,5,single
21/06/24,Oak City,Granata,R,4,CB,6,1,0,bip,liner,2,lo4
21/06/24,Oak City,Granata,R,5,CH,2,1,0,bip,fly,6,sf9
03/07/24,Tarboro,Granata,R,1,FB,12,1,1,strike,swinging,,k
07/07/24,Oak City,Granata,R,1,FB,10,0,0,ball,walk,,
07/07/24,Oak City,Granata,R,2,CB,4,1,0,bip,popup,4,po7
07/07/24,Oak City,Granata,R,3,FB,10,0,0,ball,hbp,,
