date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
04/06/24,High Point,Hanley,R,1,77,FB,13,0,0
04/06/24,High Point,Hanley,R,1,74,FB,6,1,0
04/06/24,High Point,Hanley,R,1,79,FB,12,0,0
04/06/24,High Point,Hanley,R,1,75,CH,1,1,1
04/06/24,High Point,Hanley,R,1,82,FB,3,1,0
04/06/24,High Point,Hanley,R,1,65,CB,8,0,0
04/06/24,High Point,Hanley,L,2,67,SL,5,1,0
04/06/24,High Point,Hanley,R,3,,SL,12,0,0
04/06/24,High Point,Hanley,R,3,79,FB,11,0,0
04/06/24,High Point,Hanley,R,3,75,CH,6,0,0
04/06/24,High Point,Hanley,R,3,,FB,4,1,0
04/06/24,High Point,Hanley,R,3,,CB,6,1,0
04/06/24,High Point,Hanley,R,3,75,CH,6,1,1
31/05/24,Burlington,Hanley,L,1,71,CH,12,0,0
31/05/24,Burlington,Hanley,L,1,77,FB,12,0,0
31/05/24,Burlington,Hanley,L,1,81,FB,8,0,0
31/05/24,Burlington,Hanley,L,1,79,FB,8,0,0
31/05/24,Burlington,Hanley,L,1,79,FB,11,1,0
31/05/24,Burlington,Hanley,L,1,70,SL,12,0,0
31/05/24,Burlington,Hanley,L,1,80,FB,4,0,0
31/05/24,Burlington,Hanley,R,2,82,FB,13,0,0
31/05/24,Burlington,Hanley,R,2,81,FB,10,0,0
31/05/24,Burlington,Hanley,R,2,81,FB,13,0,0
31/05/24,Burlington,Hanley,R,2,81,FB,4,0,0
31/05/24,Burlington,Hanley,R,2,78,FB,1,0,0
31/05/24,Burlington,Hanley,R,2,80,FB,3,1,0
31/05/24,Burlington,Hanley,R,3,81,FB,11,0,0
31/05/24,Burlington,Hanley,R,3,79,FB,13,0,0
31/05/24,Burlington,Hanley,R,3,81,FB,1,1,0
11/06/24,Clayton,Hanley,L,1,74,CB,12,0,0
11/06/24,Clayton,Hanley,L,1,81,FB,12,0,0
11/06/24,Clayton,Hanley,L,1,78,FB,4,0,0
11/06/24,Clayton,Hanley,L,1,81,FB,10,0,0
11/06/24,Clayton,Hanley,L,1,80,FB,12,0,0
11/06/24,Clayton,Hanley,R,2,80,FB,13,0,0
11/06/24,Clayton,Hanley,R,2,78,FB,7,0,0
11/06/24,Clayton,Hanley,R,2,70,CH,13,1,1
11/06/24,Clayton,Hanley,R,2,80,FB,1,1,0
11/06/24,Clayton,Hanley,R,2,79,FB,11,1,0
11/06/24,Clayton,Hanley,R,2,68,CB,9,1,1
11/06/24,Clayton,Hanley,L,3,78,FB,12,0,0
11/06/24,Clayton,Hanley,L,3,74,CH,5,0,0
11/06/24,Clayton,Hanley,L,3,69,CH,13,0,0
11/06/24,Clayton,Hanley,L,3,81,FB,4,0,0
11/06/24,Clayton,Hanley,L,3,81,FB,12,0,0
11/06/24,Clayton,Hanley,L,3,72,CB,12,1,1
11/06/24,Clayton,Hanley,R,4,68,CH,6,1,1
11/06/24,Clayton,Hanley,R,4,81,FB,8,1,0
11/06/24,Clayton,Hanley,R,4,78,FB,5,1,0
11/06/24,Clayton,Hanley,R,5,,FB,2,1,0
11/06/24,Clayton,Hanley,L,6,72,CH,13,1,1
11/06/24,Clayton,Hanley,L,6,68,CH,8,1,0
11/06/24,Clayton,Hanley,L,6,69,CB,7,1,0
06/07/24,High Point,Hanley,R,1,75,CH,11,0,0
06/07/24,High Point,Hanley,R,1,77,CH,6,1,0
06/07/24,High Point,Hanley,R,2,,CB,8,1,1
06/07/24,High Point,Hanley,R,2,,FB,5,1,0
06/07/24,High Point,Hanley,R,3,,SL,4,1,0
06/07/24,High Point,Hanley,R,3,69,CB,9,0,0
06/07/24,High Point,Hanley,R,3,80,FB,13,0,0
06/07/24,High Point,Hanley,R,3,72,SL,4,1,0
06/07/24,High Point,Hanley,R,4,79,FB,12,0,0
06/07/24,High Point,Hanley,R,4,68,CB,8,1,0
06/07/24,High Point,Hanley,R,5,68,CB,11,0,0
06/07/24,High Point,Hanley,R,5,80,FB,6,1,0
06/07/24,High Point,Hanley,R,5,70,CB,13,1,1
06/07/24,High Point,Hanley,R,5,80,FB,4,0,0
06/07/24,High Point,Hanley,R,6,74,CH,6,0,0
06/07/24,High Point,Hanley,R,6,,CH,9,1,0
06/07/24,High Point,Hanley,R,6,,CB,11,0,0
06/07/24,High Point,Hanley,R,6,66,CB,13,0,0
06/07/24,High Point,Hanley,R,6,75,CH,5,1,0
06/07/24,High Point,Hanley,R,7,66,CB,13,0,0
06/07/24,High Point,Hanley,R,7,,CH,12,0,0
06/07/24,High Point,Hanley,R,7,77,CH,1,1,0
06/07/24,High Point,Hanley,R,7,,FB,2,1,0
06/07/24,High Point,Hanley,R,8,70,CB,2,1,0
06/07/24,High Point,Hanley,R,9,69,CB,7,1,0
06/07/24,High Point,Hanley,R,10,,CB,3,0,0
06/07/24,High Point,Hanley,R,10,,FB,9,0,0
06/07/24,High Point,Hanley,R,10,69,CB,10,0,0
06/07/24,High Point,Hanley,R,10,,FB,11,0,0
06/07/24,High Point,Hanley,R,10,67,CB,12,0,0
06/07/24,High Point,Hanley,R,11,73,SL,5,1,0
