date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
30/05/24,Danville,Horton,R,1,79,FB,12,0,0
30/05/24,Danville,Horton,R,1,75,FB,10,0,0
30/05/24,Danville,Horton,R,1,75,FB,4,0,0
30/05/24,Danville,Horton,R,1,,FB,13,0,0
30/05/24,Danville,Horton,R,1,,FB,10,0,0
30/05/24,Danville,Horton,R,2,78,FB,5,1,0
30/05/24,Danville,Horton,L,3,80,FB,4,0,0
30/05/24,Danville,Horton,L,3,82,FB,10,0,0
30/05/24,Danville,Horton,L,3,77,FB,1,1,0
30/05/24,Danville,Horton,L,3,81,FB,12,0,0
30/05/24,Danville,Horton,L,3,81,FB,12,0,0
30/05/24,Danville,Horton,L,3,80,FB,5,1,0
30/05/24,Danville,Horton,L,3,58,CB,8,1,0
30/05/24,Danville,Horton,L,3,81,FB,7,1,0
30/05/24,Danville,Horton,L,3,,FB,2,1,0
30/05/24,Danville,Horton,R,4,80,FB,4,0,0
30/05/24,Danville,Horton,R,4,79,FB,4,1,0
30/05/24,Danville,Horton,R,4,,FB,13,1,0
30/05/24,Danville,Horton,R,4,,CH,10,0,0
30/05/24,Danville,Horton,R,4,58,CB,10,0,0
30/05/24,Danville,Horton,R,4,,FB,12,1,1
30/05/24,Danville,Horton,R,5,78,FB,5,0,0
30/05/24,Danville,Horton,R,5,84,FB,10,0,0
30/05/24,Danville,Horton,R,5,81,FB,7,1,0
30/05/24,Danville,Horton,R,5,80,FB,13,0,0
30/05/24,Danville,Horton,R,5,77,FB,5,1,1
30/05/24,Danville,Horton,R,6,56,CB,10,0,0
30/05/24,Danville,Horton,R,6,80,FB,1,1,0
30/05/24,Danville,Horton,R,6,,FB,4,0,0
30/05/24,Danville,Horton,R,6,81,FB,8,1,0
30/05/24,Danville,Horton,R,7,,FB,12,0,0
30/05/24,Danville,Horton,R,7,79,FB,13,0,0
30/05/24,Danville,Horton,R,7,75,FB,10,0,0
30/05/24,Danville,Horton,R,7,79,FB,10,0,0
