date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
17/07/24,High Point,Manning,R,1,,FB,13,0,0
17/07/24,High Point,Manning,R,1,76,CB,13,0,0
17/07/24,High Point,Manning,R,1,74,SL,6,1,0
17/07/24,High Point,Manning,R,2,77,CH,6,0,0
17/07/24,High Point,Manning,R,2,85,FB,9,0,0
17/07/24,High Point,Manning,R,2,79,CH,13,0,0
17/07/24,High Point,Manning,R,2,82,FB,5,1,0
17/07/24,High Point,Manning,R,2,75,CB,8,1,0
17/07/24,High Point,Manning,R,3,76,SL,3,0,0
17/07/24,High Point,Manning,R,3,76,SL,13,0,0
17/07/24,High Point,Manning,R,3,80,CH,9,0,0
17/07/24,High Point,Manning,R,3,79,CH,13,0,0
17/07/24,High Point,Manning,R,3,79,CH,1,1,0
17/07/24,High Point,Manning,R,3,77,CB,9,0,0
17/07/24,High Point,Manning,R,4,79,CH,3,1,0
17/07/24,High Point,Manning,R,5,,SL,6,1,0
17/07/24,High Point,Manning,R,5,71,CB,13,1,0
17/07/24,High Point,Manning,R,5,83,FB,3,1,0
17/07/24,High Point,Manning,R,5,77,CH,2,1,0
17/07/24,High Point,Manning,R,6,,FB,13,0,0
17/07/24,High Point,Manning,R,6,79,CH,5,1,1
17/07/24,High Point,Manning,R,6,77,CB,13,0,0
17/07/24,High Point,Manning,R,6,79,CH,13,0,0
17/07/24,High Point,Manning,R,6,84,FB,13,0,0
17/07/24,High Point,Manning,R,7,,CH,9,0,0
17/07/24,High Point,Manning,R,7,,CB,8,1,0
17/07/24,High Point,Manning,R,8,,SL,13,0,0
17/07/24,High Point,Manning,R,8,81,FB,2,1,0
17/07/24,High Point,Manning,R,8,79,CH,13,0,0
17/07/24,High Point,Manning,R,8,82,FB,6,0,0
17/07/24,High Point,Manning,R,8,77,SL,13,0,0
17/07/24,High Point,Manning,R,8,83,FB,5,1,1
