date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
31/05/24,Burlington,McCray,R,1,71,CH,12,0,0
31/05/24,Burlington,McCray,R,1,75,SL,10,0,0
31/05/24,Burlington,McCray,R,1,,FB,4,1,0
31/05/24,Burlington,McCray,R,1,,FB,7,1,0
31/05/24,Burlington,McCray,R,1,70,SL,13,0,0
31/05/24,Burlington,McCray,R,1,73,CB,12,0,0
31/05/24,Burlington,McCray,R,2,,FB,12,0,0
31/05/24,Burlington,McCray,R,2,,FB,4,1,0
31/05/24,Burlington,McCray,R,2,74,CB,6,0,0
31/05/24,Burlington,McCray,R,2,,FB,4,1,0
31/05/24,Burlington,McCray,L,3,81,FB,6,1,1
31/05/24,Burlington,McCray,L,3,82,FB,6,0,0
31/05/24,Burlington,McCray,L,3,81,FB,6,0,0
31/05/24,Burlington,McCray,L,4,77,CH,4,0,0
31/05/24,Burlington,McCray,L,4,79,FB,7,0,0
31/05/24,Burlington,McCray,L,4,,CH,12,1,0
31/05/24,Burlington,McCray,L,4,75,SL,4,0,0
31/05/24,Burlington,McCray,R,5,,FB,10,1,0
31/05/24,Burlington,McCray,R,6,,FB,6,0,0
31/05/24,Burlington,McCray,R,6,80,FB,8,0,0
31/05/24,Burlington,McCray,R,6,,SL,13,0,0
31/05/24,Burlington,McCray,R,6,,CH,8,1,0
31/05/24,Burlington,McCray,R,6,72,CB,13,0,0
31/05/24,Burlington,McCray,R,6,68,CB,13,0,0
31/05/24,Burlington,McCray,R,6,74,CH,9,0,0
11/06/24,Clayton,McCray,R,1,76,SL,12,0,0
11/06/24,Clayton,McCray,R,1,74,SL,10,0,0
11/06/24,Clayton,McCray,R,2,75,CH,12,0,0
11/06/24,Clayton,McCray,R,2,77,FB,3,1,0
11/06/24,Clayton,McCray,L,3,82,FB,12,0,0
11/06/24,Clayton,McCray,L,3,79,FB,5,0,0
11/06/24,Clayton,McCray,L,3,77,FB,8,1,0
11/06/24,Clayton,McCray,L,3,75,CH,12,0,0
11/06/24,Clayton,McCray,L,3,83,FB,4,1,0
11/06/24,Clayton,McCray,R,4,,SL,13,0,0
11/06/24,Clayton,McCray,R,4,,FB,13,0,0
11/06/24,Clayton,McCray,R,4,79,FB,8,1,1
11/06/24,Clayton,McCray,R,4,,CH,7,0,0
11/06/24,Clayton,McCray,R,4,,SL,13,0,0
11/06/24,Clayton,McCray,R,4,79,FB,11,0,0
11/06/24,Clayton,McCray,L,5,81,FB,10,0,0
11/06/24,Clayton,McCray,L,5,84,FB,4,1,0
11/06/24,Clayton,McCray,R,6,69,CB,6,0,0
11/06/24,Clayton,McCray,R,6,,CH,4,0,0
11/06/24,Clayton,McCray,R,6,,FB,9,1,0
11/06/24,Clayton,McCray,R,6,72,SL,3,1,0
11/06/24,Clayton,McCray,R,6,80,FB,11,0,0
11/06/24,Clayton,McCray,R,6,72,SL,9,1,0
11/06/24,Clayton,McCray,R,6,,FB,12,0,0
11/06/24,Clayton,McCray,R,6,74,CH,5,1,0
11/06/24,Clayton,McCray,R,7,71,CB,13,0,0
11/06/24,Clayton,McCray,R,7,80,FB,6,0,0
11/06/24,Clayton,McCray,R,7,,FB,8,1,0
11/06/24,Clayton,McCray,L,8,81,FB,12,0,0
11/06/24,Clayton,McCray,L,8,80,FB,11,0,0
11/06/24,Clayton,McCray,L,8,80,FB,2,1,0
11/06/24,Clayton,McCray,L,8,81,FB,8,1,1
11/06/24,Clayton,McCray,L,8,75,CH,13,0,0
11/06/24,Clayton,McCray,L,8,82,FB,11,1,0
11/06/24,Clayton,McCray,L,8,74,SL,12,0,0
11/06/24,Clayton,McCray,R,9,,SL,4,0,0
11/06/24,Clayton,McCray,R,9,74,CH,1,1,0
