date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
15/06/24,Burlington,Miller,R,1,FB,13,0,0,ball,,,
15/06/24,Burlington,Miller,R,1,FB,1,1,0,bip,popup,3,po6
15/06/24,Burlington,Miller,R,2,CB,13,0,0,ball,,,
15/06/24,Burlington,Miller,R,2,CB,11,0,0,ball,,,
15/06/24,Burlington,Miller,R,2,FB,10,0,0,ball,,,
15/06/24,Burlington,Miller,R,2,FB,7,1,0,bip,grounder,4,double
15/06/24,Burlington,Miller,R,3,CH,11,0,0,ball,,,
15/06/24,Burlington,Miller,R,3,CH,11,0,0,ball,,,
15/06/24,Burlington,Miller,R,3,FB,6,1,0,bip,grounder,3,fc
15/06/24,Burlington,Miller,R,4,CH,12,1,0,foul,,,
15/06/24,Burlington,Miller,R,4,FB,5,1,0,bip,popup,2,fc
11/06/24,Clayton,Miller,R,1,CB,4,0,0,strike,looking,,
11/06/24,Clayton,Miller,R,1,SL,6,0,0,strike,looking,,
11/06/24,Clayton,Miller,R,1,SL,13,0,0,ball,,,
11/06/24,Clayton,Miller,R,1,FB,8,1,0,bip,grounder,2,go4
11/06/24,Clayton,Miller,R,2,FB,3,1,0,foul,,,
11/06/24,Clayton,Miller,R,2,SL,13,0,0,ball,,,
11/06/24,Clayton,Miller,R,2,CH,10,1,0,foul,,,
11/06/24,Clayton,Miller,R,2,SL,9,1,0,bip,fly,6,roe
11/06/24,Clayton,Miller,R,3,FB,1,1,0,bip,grounder,3,sb6
11/06/24,Clayton,Miller,R,4,FB,1,1,1,strike,swinging,,
11/06/24,Clayton,Miller,R,4,FB,13,0,0,ball,,,
11/06/24,Clayton,Miller,R,4,CH,6,1,0,bip,fly,4,fo7
05/06/24,Yorktown,Miller,R,1,FB,12,0,0,ball,,,
05/06/24,Yorktown,Miller,R,1,FB,4,1,0,foul,,,
05/06/24,Yorktown,Miller,R,1,SL,13,0,0,ball,,,
05/06/24,Yorktown,Miller,R,1,FB,10,0,0,ball,,,
05/06/24,Yorktown,Miller,R,1,FB,4,0,0,strike,looking,,
05/06/24,Yorktown,Miller,R,1,CB,13,1,0,foul,,,
05/06/24,Yorktown,Miller,R,1,FB,2,1,1,strike,swinging,,k
05/06/24,Yorktown,Miller,R,2,CH,13,0,0,ball,,,
05/06/24,Yorktown,Miller,R,2,FB,6,1,0,foul,,,
05/06/24,Yorktown,Miller,R,2,FB,1,1,0,foul,,,
05/06/24,Yorktown,Miller,R,2,FB,10,1,0,foul,,,
05/06/24,Yorktown,Miller,R,2,CH,10,0,0,ball,,,
05/06/24,Yorktown,Miller,R,2,FB,3,1,1,strike,swinging,,k
05/06/24,Yorktown,Miller,L,3,CH,1,0,0,strike,looking,,
05/06/24,Yorktown,Miller,L,3,FB,13,0,0,ball,,,
05/06/24,Yorktown,Miller,L,3,FB,11,0,0,ball,,,
05/06/24,Yorktown,Miller,L,3,CH,6,1,0,bip,liner,6,single
07/06/24,Reidsville,Miller,R,1,FB,4,1,0,foul,,,
07/06/24,Reidsville,Miller,R,1,FB,2,1,0,foul,,,
07/06/24,Reidsville,Miller,R,1,CB,6,1,0,bip,fly,5,fo8
07/06/24,Reidsville,Miller,R,2,FB,1,1,0,bip,popup,2,po4
07/06/24,Reidsville,Miller,R,3,FB,13,0,0,ball,,,
