date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
07/06/24,Reidsville,Mruk,R,1,86,FB,13,0,0
07/06/24,Reidsville,Mruk,R,1,86,FB,2,1,0
07/06/24,Reidsville,Mruk,R,2,84,FB,1,1,0
07/06/24,Reidsville,Mruk,R,2,87,FB,13,0,0
07/06/24,Reidsville,Mruk,R,2,75,CB,6,0,0
07/06/24,Reidsville,Mruk,R,2,74,CB,13,0,0
07/06/24,Reidsville,Mruk,R,2,88,FB,13,0,0
07/06/24,Reidsville,Mruk,R,2,75,CH,11,0,0
07/06/24,Reidsville,Mruk,R,3,86,FB,1,1,0
07/06/24,Reidsville,Mruk,R,4,70,SL,8,1,0
07/06/24,Reidsville,Mruk,R,5,87,FB,11,0,0
07/06/24,Reidsville,Mruk,R,5,,CH,4,1,0
07/06/24,Reidsville,Mruk,R,6,76,CB,13,0,0
07/06/24,Reidsville,Mruk,R,6,87,FB,13,0,0
07/06/24,Reidsville,Mruk,R,6,,CH,4,1,0
07/06/24,Reidsville,Mruk,R,7,83,FB,10,0,0
07/06/24,Reidsville,Mruk,R,7,86,FB,11,0,0
07/06/24,Reidsville,Mruk,R,7,85,FB,4,0,0
07/06/24,Reidsville,Mruk,R,7,86,FB,3,1,0
07/06/24,Reidsville,Mruk,R,7,88,FB,6,1,0
07/06/24,Reidsville,Mruk,R,8,87,FB,12,0,0
07/06/24,Reidsville,Mruk,R,8,87,FB,6,1,0
28/05/24,Carolina,Mruk,,,85,FB,6,0,0
28/05/24,Carolina,Mruk,,,83,FB,13,0,0
28/05/24,Carolina,Mruk,,,,FB,13,0,0
28/05/24,Carolina,Mruk,,,82,FB,13,0,0
28/05/24,Carolina,Mruk,,,79,FB,8,1,0
28/05/24,Carolina,Mruk,,,84,FB,13,0,0
28/05/24,Carolina,Mruk,,,82,FB,5,1,0
28/05/24,Carolina,Mruk,,,,FB,5,0,0
28/05/24,Carolina,Mruk,,,,FB,12,0,0
28/05/24,Carolina,Mruk,,,,FB,6,1,0
28/05/24,Carolina,Mruk,,,69,CB,8,0,0
28/05/24,Carolina,Mruk,,,85,FB,11,0,0
28/05/24,Carolina,Mruk,,,,FB,1,1,0
28/05/24,Carolina,Mruk,,,,SL,13,0,0
28/05/24,Carolina,Mruk,,,,CB,9,0,0
28/05/24,Carolina,Mruk,,,,CB,9,0,0
28/05/24,Carolina,Mruk,,,,FB,9,1,1
28/05/24,Carolina,Mruk,,,85,FB,12,0,0
28/05/24,Carolina,Mruk,,,84,FB,13,0,0
28/05/24,Carolina,Mruk,,,82,FB,13,0,0
28/05/24,Carolina,Mruk,,,85,FB,13,0,0
28/05/24,Carolina,Mruk,,,80,FB,13,0,0
28/05/24,Carolina,Mruk,,,85,FB,6,0,0
28/05/24,Carolina,Mruk,,,80,FB,9,0,0
28/05/24,Carolina,Mruk,,,67,SL,12,1,1
28/05/24,Carolina,Mruk,,,69,SL,11,0,0
28/05/24,Carolina,Mruk,,,,FB,6,1,1
28/05/24,Carolina,Mruk,,,83,FB,6,1,0
28/05/24,Carolina,Mruk,,,79,FB,3,1,0
28/05/24,Carolina,Mruk,,,,CH,2,1,0
28/05/24,Carolina,Mruk,,,,SL,13,0,0
28/05/24,Carolina,Mruk,,,81,FB,13,0,0
28/05/24,Carolina,Mruk,,,83,FB,11,0,0
28/05/24,Carolina,Mruk,,,84,FB,5,0,0
28/05/24,Carolina,Mruk,,,84,FB,9,1,0
28/05/24,Carolina,Mruk,,,85,FB,12,0,0
