date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
06/07/24,High Point,Perez,R,1,80,FB,11,1,0
06/07/24,High Point,Perez,R,1,77,CH,1,1,0
06/07/24,High Point,Perez,R,2,77,CH,4,0,0
06/07/24,High Point,Perez,R,2,81,FB,10,0,0
06/07/24,High Point,Perez,R,2,82,FB,10,0,0
06/07/24,High Point,Perez,R,2,74,SL,10,0,0
06/07/24,High Point,Perez,R,2,80,FB,6,0,0
06/07/24,High Point,Perez,R,2,74,CB,3,0,0
06/07/24,High Point,Perez,R,3,72,CB,9,0,0
06/07/24,High Point,Perez,R,3,83,FB,10,1,0
06/07/24,High Point,Perez,R,4,79,FB,3,1,0
06/07/24,High Point,Perez,R,4,76,CH,8,1,0
06/07/24,High Point,Perez,R,5,80,FB,10,0,0
06/07/24,High Point,Perez,R,5,72,CB,12,0,0
06/07/24,High Point,Perez,R,5,79,FB,6,0,0
06/07/24,High Point,Perez,R,5,73,CB,5,1,0
06/07/24,High Point,Perez,R,6,75,CH,2,1,0
06/07/24,High Point,Perez,R,6,80,FB,2,1,1
06/07/24,High Point,Perez,R,6,72,CB,11,0,0
06/07/24,High Point,Perez,R,6,72,SL,7,1,0
06/07/24,High Point,Perez,R,6,82,FB,2,1,1
06/07/24,High Point,Perez,R,7,78,FB,12,1,1
06/07/24,High Point,Perez,R,7,74,CH,11,1,1
06/07/24,High Point,Perez,R,7,78,FB,3,1,1
06/07/24,High Point,Perez,R,8,71,CB,10,0,0
06/07/24,High Point,Perez,R,8,73,CB,11,0,0
06/07/24,High Point,Perez,R,8,78,FB,6,1,1
06/07/24,High Point,Perez,R,8,72,CH,11,0,0
06/07/24,High Point,Perez,R,8,79,FB,12,0,0
06/07/24,High Point,Perez,R,9,67,CB,11,1,1
06/07/24,High Point,Perez,R,9,79,FB,12,0,0
06/07/24,High Point,Perez,R,9,76,CH,4,1,0
06/07/24,High Point,Perez,R,10,79,FB,6,1,1
06/07/24,High Point,Perez,R,10,80,FB,10,0,0
06/07/24,High Point,Perez,R,10,81,FB,5,1,1
06/07/24,High Point,Perez,R,10,83,FB,5,1,0
06/07/24,High Point,Perez,R,10,79,FB,8,1,0
06/07/24,High Point,Perez,R,11,83,FB,11,0,0
06/07/24,High Point,Perez,R,11,77,CH,12,1,0
06/07/24,High Point,Perez,R,11,72,CB,6,0,0
06/07/24,High Point,Perez,R,11,80,FB,2,1,0
06/07/24,High Point,Perez,R,12,,FB,11,0,0
06/07/24,High Point,Perez,R,12,80,FB,12,0,0
06/07/24,High Point,Perez,R,12,78,FB,6,1,0
06/07/24,High Point,Perez,R,12,70,SL,7,1,0
06/07/24,High Point,Perez,R,12,77,CH,5,1,0
06/07/24,High Point,Perez,R,12,81,FB,10,0,0
06/07/24,High Point,Perez,R,12,71,SL,5,1,0
06/07/24,High Point,Perez,R,13,79,FB,11,0,0
06/07/24,High Point,Perez,R,13,71,SL,10,0,0
06/07/24,High Point,Perez,R,13,77,CH,10,0,0
06/07/24,High Point,Perez,R,13,74,CH,10,0,0
06/07/24,High Point,Perez,R,14,77,CH,5,0,0
06/07/24,High Point,Perez,R,14,75,CB,12,0,0
06/07/24,High Point,Perez,R,14,77,CH,10,0,0
06/07/24,High Point,Perez,R,14,77,CH,10,0,0
06/07/24,High Point,Perez,R,14,76,CH,9,1,1
06/07/24,High Point,Perez,R,14,75,SL,10,0,0
06/07/24,High Point,Perez,R,15,72,CB,12,0,0
06/07/24,High Point,Perez,R,15,76,CH,8,0,0
06/07/24,High Point,Perez,R,15,78,FB,1,1,1
06/07/24,High Point,Perez,R,15,82,FB,2,1,0
06/07/24,High Point,Perez,R,16,75,CH,4,0,0
06/07/24,High Point,Perez,R,16,78,FB,9,1,0
06/07/24,High Point,Perez,R,16,75,CH,1,1,1
16/07/24,Oak City,Perez,R,1,80,CH,6,0,0
16/07/24,Oak City,Perez,R,1,77,CH,8,0,0
16/07/24,Oak City,Perez,R,1,83,FB,1,1,1
16/07/24,Oak City,Perez,L,2,73,SL,4,1,0
16/07/24,Oak City,Perez,R,3,77,CH,13,0,0
16/07/24,Oak City,Perez,R,3,81,FB,9,0,0
16/07/24,Oak City,Perez,R,3,68,CB,5,1,0
