date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
15/06/24,Burlington,Richardson,R,1,CH,10,0,0,ball,,,
15/06/24,Burlington,Richardson,R,1,CH,13,0,0,ball,,,
15/06/24,Burlington,Richardson,R,1,FB,11,0,0,ball,,,
15/06/24,Burlington,Richardson,R,1,FB,12,0,0,ball,walk,,
15/06/24,Burlington,Richardson,R,2,CH,11,0,0,ball,,,
15/06/24,Burlington,Richardson,R,2,FB,13,0,0,ball,,,
15/06/24,Burlington,Richardson,R,2,CH,3,0,0,ball,,,
15/06/24,Burlington,Richardson,R,2,FB,11,1,0,foul,,,
15/06/24,Burlington,Richardson,R,2,CB,10,0,0,ball,,,
15/06/24,Burlington,Richardson,R,2,CH,7,1,0,foul,,,
15/06/24,Burlington,Richardson,R,2,FB,2,1,0,foul,,,
15/06/24,Burlington,Richardson,R,2,FB,11,0,0,ball,walk,,
15/06/24,Burlington,Richardson,R,3,SL,13,0,0,ball,,,
15/06/24,Burlington,Richardson,R,3,CB,10,0,0,ball,,,
15/06/24,Burlington,Richardson,R,3,FB,11,0,0,ball,,,
15/06/24,Burlington,Richardson,R,3,FB,1,0,0,strike,looking,,
15/06/24,Burlington,Richardson,R,3,CH,4,0,0,strike,looking,,
15/06/24,Burlington,Richardson,R,3,FB,2,1,0,bip,grounder,4,single
15/06/24,Burlington,Richardson,R,4,FB,5,1,0,bip,grounder,2,roe
04/06/24,High Point,Richardson,R,1,CH,10,0,0,ball,hbp,,
04/06/24,High Point,Richardson,R,2,FB,13,1,0,foul,,,
04/06/24,High Point,Richardson,R,2,CH,13,0,0,ball,,,
04/06/24,High Point,Richardson,R,2,FB,6,1,0,foul,,,
04/06/24,High Point,Richardson,R,2,FB,2,1,0,bip,grounder,6,single
28/05/24,Carolina,Richardson,R,1,FB,10,0,0,ball,,,
28/05/24,Carolina,Richardson,R,1,CB,10,0,0,ball,,,
28/05/24,Carolina,Richardson,R,1,SL,7,1,0,bip,grounder,3,roe
28/05/24,Carolina,Richardson,R,2,FB,9,0,0,strike,looking,,
28/05/24,Carolina,Richardson,R,2,CH,12,0,0,ball,,,
28/05/24,Carolina,Richardson,R,2,FB,12,0,0,ball,,,
28/05/24,Carolina,Richardson,R,2,CH,5,0,0,strike,looking,,
28/05/24,Carolina,Richardson,R,2,FB,6,1,0,bip,fly,4,fo7
28/05/24,Carolina,Richardson,R,3,CB,4,1,0,bip,grounder,3,roe
28/05/24,Carolina,Richardson,R,4,FB,6,1,0,bip,popup,1,po3
30/05/24,Danville,Richardson,R,1,FB,3,1,1,strike,swinging,,
30/05/24,Danville,Richardson,R,1,FB,13,0,0,ball,,,
30/05/24,Danville,Richardson,R,1,CB,4,0,0,strike,looking,,
30/05/24,Danville,Richardson,R,1,SL,13,1,0,foul,,,
30/05/24,Danville,Richardson,R,1,FB,13,0,0,ball,,,
30/05/24,Danville,Richardson,R,1,SL,8,1,0,bip,popup,2,po6
30/05/24,Danville,Richardson,R,2,FB,10,0,0,ball,,,
30/05/24,Danville,Richardson,R,2,FB,9,0,0,strike,looking,,
30/05/24,Danville,Richardson,R,2,FB,13,0,0,ball,,,
30/05/24,Danville,Richardson,R,2,FB,4,1,0,bip,grounder,1,go4
30/05/24,Danville,Richardson,R,3,FB,4,1,0,foul,,,
30/05/24,Danville,Richardson,R,3,CH,10,0,0,ball,hbp,,
30/05/24,Danville,Richardson,R,4,FB,1,1,0,foul,,,
30/05/24,Danville,Richardson,R,4,FB,11,0,0,ball,,,
30/05/24,Danville,Richardson,R,4,FB,6,1,1,strike,swinging,,
30/05/24,Danville,Richardson,R,4,FB,7,1,0,foul,,,
30/05/24,Danville,Richardson,R,4,FB,13,1,0,foul,,,
30/05/24,Danville,Richardson,R,4,CH,13,0,0,ball,,,
30/05/24,Danville,Richardson,R,4,CH,10,0,0,ball,,,
30/05/24,Danville,Richardson,R,4,FB,2,1,0,bip,fly,4,fo7
30/05/24,Danville,Richardson,R,5,FB,10,0,0,ball,,,
30/05/24,Danville,Richardson,R,5,FB,10,0,0,ball,hbp,,
07/06/24,Reidsville,Richardson,R,1,FB,10,0,0,ball,,,
07/06/24,Reidsville,Richardson,R,1,FB,13,0,0,ball,,,
07/06/24,Reidsville,Richardson,R,1,CB,12,0,0,ball,,,
07/06/24,Reidsville,Richardson,R,1,FB,5,0,0,strike,looking,,
07/06/24,Reidsville,Richardson,R,1,FB,1,1,0,bip,grounder,2,go4
07/06/24,Reidsville,Richardson,R,2,FB,4,1,0,bip,liner,6,double
07/06/24,Reidsville,Richardson,R,3,CH,11,1,0,bip,fly,4,single
07/06/24,Reidsville,Richardson,L,4,FB,12,0,0,ball,,,
07/06/24,Reidsville,Richardson,L,4,CH,6,0,0,strike,looking,,
07/06/24,Reidsville,Richardson,L,4,FB,7,1,0,bip,fly,6,fo9
