date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
18/06/24,Carolina,Richardson,R,1,67,FB,5,0,0
18/06/24,Carolina,Richardson,R,1,66,CH,13,0,0
18/06/24,Carolina,Richardson,R,1,63,CB,1,1,0
18/06/24,Carolina,Richardson,R,2,67,FB,6,0,0
18/06/24,Carolina,Richardson,R,2,65,CH,12,1,0
18/06/24,Carolina,Richardson,R,2,67,FB,10,0,0
18/06/24,Carolina,Richardson,R,2,49,CB,9,0,0
18/06/24,Carolina,Richardson,R,2,67,FB,10,0,0
18/06/24,Carolina,Richardson,R,2,66,FB,2,1,0
18/06/24,Carolina,Richardson,L,3,70,FB,4,0,0
18/06/24,Carolina,Richardson,L,3,69,FB,10,0,0
18/06/24,Carolina,Richardson,L,3,51,CB,10,0,0
18/06/24,Carolina,Richardson,L,3,69,FB,10,0,0
18/06/24,Carolina,Richardson,L,3,66,CH,10,0,0
