date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
6/15/2024,Burlington,Richardson,R,1,FB,12,0,0,ball,walk,,
6/15/2024,Burlington,Richardson,R,2,FB,11,0,0,ball,walk,,
6/15/2024,Burlington,Richardson,R,3,FB,2,1,0,bip,grounder,4,single
6/15/2024,Burlington,Richardson,R,4,FB,5,1,0,bip,grounder,2,roe
6/4/2024,High Point,Richardson,R,1,CH,10,0,0,ball,hbp,,
6/4/2024,High Point,Richardson,R,2,FB,2,1,0,bip,grounder,6,single
5/28/2024,Carolina,Richardson,R,1,SL,7,1,0,bip,grounder,3,roe
5/28/2024,Carolina,Richardson,R,2,FB,6,1,0,bip,fly,4,fo7
5/28/2024,Carolina,Richardson,R,3,CB,4,1,0,bip,grounder,3,roe
5/28/2024,Carolina,Richardson,R,4,FB,6,1,0,bip,popup,1,po3
5/30/2024,Danville,Richardson,R,1,SL,8,1,0,bip,popup,2,po6
5/30/2024,Danville,Richardson,R,2,FB,4,1,0,bip,grounder,1,go4
5/30/2024,Danville,Richardson,R,3,CH,10,0,0,ball,hbp,,
5/30/2024,Danville,Richardson,R,4,FB,2,1,0,bip,fly,4,fo7
5/30/2024,Danville,Richardson,R,5,FB,10,0,0,ball,hbp,,
6/7/2024,Reidsville,Richardson,R,1,FB,1,1,0,bip,grounder,2,go4
6/7/2024,Reidsville,Richardson,R,2,FB,4,1,0,bip,liner,6,double
6/7/2024,Reidsville,Richardson,R,3,CH,11,1,0,bip,fly,4,single
6/7/2024,Reidsville,Richardson,L,4,FB,7,1,0,bip,fly,6,fo9
6/18/2024,Carolina,Richardson,R,1,CB,2,1,0,bip,fly,4,single
6/18/2024,Carolina,Richardson,L,2,FB,6,1,0,bip,fly,4,fo7
6/18/2024,Carolina,Richardson,R,3,CH,5,0,0,strike,looking,,kk
6/18/2024,Carolina,Richardson,R,4,CB,13,0,0,ball,walk,,
6/27/2024,C. Pirates,Richardson,R,1,FB,1,1,0,bip,grounder,3,sb1
7/2/2024,Clayton,Richardson,R,1,CH,12,0,0,ball,hbp,,
7/2/2024,Clayton,Richardson,R,2,FB,6,1,0,bip,grounder,2,go4
7/2/2024,Clayton,Richardson,L,3,FB,3,1,0,bip,fly,5,fo8
7/2/2024,Clayton,Richardson,L,4,CH,11,0,0,ball,walk,,
7/2/2024,Clayton,Richardson,L,5,CB,8,1,0,bip,popup,3,po5
7/3/2024,Tarboro,Richardson,R,1,FB,4,1,0,bip,popup,7,po3
7/3/2024,Tarboro,Richardson,R,2,CB,5,1,0,bip,fly,4,double
7/3/2024,Tarboro,Richardson,R,3,FB,2,1,0,bip,liner,4,single
7/3/2024,Tarboro,Richardson,R,4,FB,1,1,0,bip,liner,5,lo8
7/3/2024,Tarboro,Richardson,R,5,CH,6,1,0,bip,popup,2,po6
