date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
03/07/24,Tarboro,Robinson,R,1,90,FB,6,0,0
03/07/24,Tarboro,Robinson,R,1,91,FB,11,0,0
03/07/24,Tarboro,Robinson,R,1,89,FB,13,0,0
03/07/24,Tarboro,Robinson,R,1,92,FB,11,0,0
03/07/24,Tarboro,Robinson,R,1,84,CH,3,0,0
03/07/24,Tarboro,Robinson,R,1,91,FB,11,1,1
03/07/24,Tarboro,Robinson,L,2,91,FB,5,1,0
03/07/24,Tarboro,Robinson,L,2,86,CH,10,0,0
03/07/24,Tarboro,Robinson,L,2,88,FB,10,0,0
03/07/24,Tarboro,Robinson,L,2,79,SL,13,0,0
03/07/24,Tarboro,Robinson,L,2,89,FB,9,0,0
03/07/24,Tarboro,Robinson,L,2,83,CH,4,1,0
03/07/24,Tarboro,Robinson,R,3,84,CH,5,0,0
03/07/24,Tarboro,Robinson,R,3,87,FB,13,0,0
03/07/24,Tarboro,Robinson,R,3,,FB,2,1,0
03/07/24,Tarboro,Robinson,R,4,,CH,13,0,0
03/07/24,Tarboro,Robinson,R,4,81,CB,12,1,1
03/07/24,Tarboro,Robinson,R,4,76,SL,6,1,0
03/07/24,Tarboro,Robinson,L,5,,FB,13,0,0
03/07/24,Tarboro,Robinson,L,5,87,FB,6,0,0
03/07/24,Tarboro,Robinson,L,5,87,FB,13,0,0
03/07/24,Tarboro,Robinson,L,5,83,CH,4,1,0
03/07/24,Tarboro,Robinson,R,6,87,FB,13,0,0
03/07/24,Tarboro,Robinson,R,6,87,FB,1,1,0
03/07/24,Tarboro,Robinson,R,6,76,CB,8,1,0
03/07/24,Tarboro,Robinson,R,7,,FB,13,0,0
03/07/24,Tarboro,Robinson,R,7,86,FB,3,1,0
03/07/24,Tarboro,Robinson,R,8,87,FB,13,0,0
03/07/24,Tarboro,Robinson,R,8,87,FB,1,1,0
03/07/24,Tarboro,Robinson,R,8,85,CH,5,0,0
03/07/24,Tarboro,Robinson,R,8,79,CB,4,1,1
03/07/24,Tarboro,Robinson,R,9,85,CH,2,1,0
03/07/24,Tarboro,Robinson,R,10,82,SL,13,1,1
03/07/24,Tarboro,Robinson,R,10,90,FB,11,0,0
03/07/24,Tarboro,Robinson,R,10,79,CB,7,0,0
03/07/24,Tarboro,Robinson,R,10,91,FB,1,1,0
03/07/24,Tarboro,Robinson,R,10,89,FB,6,1,0
03/07/24,Tarboro,Robinson,L,11,84,CH,13,0,0
03/07/24,Tarboro,Robinson,L,11,80,SL,13,1,1
03/07/24,Tarboro,Robinson,L,11,82,CH,8,1,1
03/07/24,Tarboro,Robinson,L,11,90,FB,2,1,1
03/07/24,Tarboro,Robinson,R,12,78,CB,13,0,0
03/07/24,Tarboro,Robinson,R,12,86,FB,13,0,0
03/07/24,Tarboro,Robinson,R,12,80,SL,13,0,0
03/07/24,Tarboro,Robinson,R,12,87,FB,13,0,0
03/07/24,Tarboro,Robinson,R,13,85,CH,5,1,0
03/07/24,Tarboro,Robinson,L,14,79,CB,1,1,1
03/07/24,Tarboro,Robinson,L,14,86,CH,13,0,0
03/07/24,Tarboro,Robinson,L,14,78,CB,3,1,0
03/07/24,Tarboro,Robinson,L,14,75,CB,1,1,0
03/07/24,Tarboro,Robinson,R,15,87,FB,11,1,1
03/07/24,Tarboro,Robinson,R,15,,FB,9,1,0
03/07/24,Tarboro,Robinson,R,16,79,CB,9,1,1
03/07/24,Tarboro,Robinson,R,16,81,SL,9,1,1
03/07/24,Tarboro,Robinson,R,16,81,SL,6,1,0
03/07/24,Tarboro,Robinson,R,17,82,CH,12,0,0
03/07/24,Tarboro,Robinson,R,17,86,CH,3,1,0
03/07/24,Tarboro,Robinson,R,18,86,CH,5,1,0
10/07/24,Clayton,Robinson,R,1,87,FB,13,0,0
10/07/24,Clayton,Robinson,R,1,87,FB,12,0,0
10/07/24,Clayton,Robinson,R,1,80,SL,13,0,0
10/07/24,Clayton,Robinson,R,1,,CH,4,0,0
10/07/24,Clayton,Robinson,R,1,81,SL,13,0,0
10/07/24,Clayton,Robinson,R,2,77,CB,8,0,0
10/07/24,Clayton,Robinson,R,2,84,FB,13,0,0
10/07/24,Clayton,Robinson,R,2,78,SL,13,0,0
