date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
11/06/24,Clayton,Snelson,R,1,FB,12,0,0,ball,walk,,
11/06/24,Clayton,Snelson,R,2,CH,10,0,0,ball,hbp,,
11/06/24,Clayton,Snelson,L,3,FB,12,0,0,ball,hbp,,
11/06/24,Clayton,Snelson,R,4,FB,9,1,0,bip,fly,6,fo9
04/06/24,High Point,Snelson,R,1,FB,10,1,0,bip,popup,7,po3
04/06/24,High Point,Snelson,R,2,FB,2,1,0,bip,fly,4,double
04/06/24,High Point,Snelson,R,3,CH,11,0,0,ball,walk,,
04/06/24,High Point,Snelson,L,4,FB,4,1,1,strike,swinging,,k
28/05/24,Carolina,Snelson,R,1,FB,7,1,0,bip,fly,5,fo8
28/05/24,Carolina,Snelson,R,2,FB,12,1,1,strike,swinging,,k
28/05/24,Carolina,Snelson,R,3,CB,4,1,0,bip,popup,8,po2
05/06/24,Yorktown,Snelson,R,1,CB,7,1,0,bip,fly,5,fo8
05/06/24,Yorktown,Snelson,R,2,FB,11,0,0,ball,walk,,
05/06/24,Yorktown,Snelson,R,3,CH,8,1,0,bip,fly,6,single
05/06/24,Yorktown,Snelson,R,4,FB,4,1,0,bip,grounder,2,go6
18/06/24,Carolina,Snelson,L,1,SL,6,1,0,bip,grounder,2,go4
18/06/24,Carolina,Snelson,L,2,CH,11,1,0,bip,fly,5,fo8
18/06/24,Carolina,Snelson,R,3,CH,13,0,0,ball,walk,,
18/06/24,Carolina,Snelson,R,4,FB,10,0,0,ball,walk,,
21/06/24,Oak City,Snelson,R,1,FB,2,1,0,bip,grounder,2,sb1
21/06/24,Oak City,Snelson,R,2,FB,8,1,0,bip,grounder,1,go2
21/06/24,Oak City,Snelson,R,3,FB,10,0,0,ball,walk,,
21/06/24,Oak City,Snelson,R,4,CB,6,1,0,bip,fly,5,single
21/06/24,Oak City,Snelson,R,5,SL,6,1,0,bip,fly,5,roe
27/06/24,C. Pirates,Snelson,R,1,FB,2,1,0,bip,grounder,4,single
27/06/24,C. Pirates,Snelson,R,2,FB,6,1,0,bip,fly,4,fo7
27/06/24,C. Pirates,Snelson,R,3,CH,9,1,0,bip,grounder,4,single
27/06/24,C. Pirates,Snelson,R,4,FB,7,1,0,bip,grounder,3,fc
03/07/24,Tarboro,Snelson,R,1,FB,6,1,0,bip,grounder,2,go4
03/07/24,Tarboro,Snelson,R,2,CB,4,1,0,bip,grounder,2,go6
03/07/24,Tarboro,Snelson,R,3,FB,13,0,0,ball,walk,,
03/07/24,Tarboro,Snelson,R,4,FB,1,1,0,bip,fly,4,single
03/07/24,Tarboro,Snelson,R,5,FB,5,1,1,strike,swinging,,k
10/07/24,Clayton,Snelson,R,1,CH,6,1,1,strike,swinging,,k
10/07/24,Clayton,Snelson,R,2,CH,3,1,0,bip,popup,4,single
10/07/24,Clayton,Snelson,R,3,CB,4,1,0,bip,popup,4,po5
11/07/24,C. Pirates,Snelson,R,1,FB,4,1,0,bip,popup,8,po5
11/07/24,C. Pirates,Snelson,R,2,FB,13,0,0,ball,walk,,
11/07/24,C. Pirates,Snelson,R,3,FB,2,1,1,strike,swinging,,k
11/07/24,C. Pirates,Snelson,R,4,FB,7,1,1,strike,swinging,,k
11/07/24,C. Pirates,Snelson,R,5,FB,3,1,0,bip,fly,5,fo8
16/07/24,Oak City,Snelson,R,1,FB,2,1,0,bip,fly,5,sf8
16/07/24,Oak City,Snelson,R,2,CB,5,1,0,bip,fly,5,fo9
16/07/24,Oak City,Snelson,R,3,FB,11,1,0,bip,popup,5,po8
16/07/24,Oak City,Snelson,R,4,FB,9,1,0,bip,fly,5,fo8
17/07/24,High Point,Snelson,R,1,SL,13,1,1,strike,swinging,,k
17/07/24,High Point,Snelson,R,2,CH,12,0,0,ball,hbp,,
17/07/24,High Point,Snelson,R,3,FB,4,0,0,strike,looking,,kk
17/07/24,High Point,Snelson,L,4,FB,4,1,0,bip,liner,5,single
17/07/24,High Point,Snelson,L,5,FB,1,1,0,bip,grounder,3,sb1
06/07/24,High Point,Snelson,R,1,CB,1,1,0,bip,fly,5,fo8
06/07/24,High Point,Snelson,R,2,CH,9,0,0,strike,looking,,kk
06/07/24,High Point,Snelson,R,3,FB,8,1,0,bip,grounder,4,single
