date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
05/06/24,Yorktown,Torti,R,1,CH,6,0,0,strike,looking,,
05/06/24,Yorktown,Torti,R,1,FB,12,0,0,ball,,,
05/06/24,Yorktown,Torti,R,1,FB,11,0,0,ball,,,
05/06/24,Yorktown,Torti,R,1,FB,,,,,,,
05/06/24,Yorktown,Torti,R,1,CH,10,0,0,ball,,,
05/06/24,Yorktown,Torti,R,1,FB,1,1,0,foul,,,
05/06/24,Yorktown,Torti,R,1,FB,10,1,1,strike,swinging,,k
05/06/24,Yorktown,Torti,R,2,FB,7,1,1,strike,swinging,,
05/06/24,Yorktown,Torti,R,2,FB,13,0,0,ball,,,
05/06/24,Yorktown,Torti,R,2,CB,7,1,0,bip,grounder,6,single
05/06/24,Yorktown,Torti,R,3,FB,13,0,0,ball,,,
05/06/24,Yorktown,Torti,R,3,FB,12,0,0,ball,,,
05/06/24,Yorktown,Torti,R,3,FB,8,1,1,strike,swinging,,
05/06/24,Yorktown,Torti,R,3,CH,12,0,0,ball,,,
05/06/24,Yorktown,Torti,R,3,FB,5,1,0,foul,,,
05/06/24,Yorktown,Torti,R,3,CH,10,0,0,ball,walk,,
05/06/24,Yorktown,Torti,R,4,FB,4,1,0,foul,,,
05/06/24,Yorktown,Torti,L,4,FB,12,0,0,ball,,,
05/06/24,Yorktown,Torti,L,4,CH,3,1,0,bip,fly,6,fo9
28/05/24,Carolina,Torti,R,1,FB,2,0,0,strike,looking,,
28/05/24,Carolina,Torti,R,1,FB,10,0,0,ball,,,
28/05/24,Carolina,Torti,R,1,CH,7,1,0,foul,,,
28/05/24,Carolina,Torti,R,1,FB,12,0,0,ball,,,
28/05/24,Carolina,Torti,R,1,CH,8,1,0,bip,fly,2,single
28/05/24,Carolina,Torti,R,2,CH,10,0,0,ball,,,
28/05/24,Carolina,Torti,R,2,FB,8,1,0,foul,,,
28/05/24,Carolina,Torti,R,2,CH,12,0,0,ball,,,
28/05/24,Carolina,Torti,R,2,FB,13,0,0,ball,,,
28/05/24,Carolina,Torti,R,2,CH,3,1,0,bip,popup,8,po5
28/05/24,Carolina,Torti,R,3,FB,12,0,0,ball,,,
28/05/24,Carolina,Torti,R,3,CH,8,0,0,strike,looking,,
28/05/24,Carolina,Torti,R,3,FB,6,0,0,strike,looking,,
28/05/24,Carolina,Torti,R,3,FB,5,1,0,bip,popup,2,po4
28/05/24,Carolina,Torti,R,4,FB,12,0,0,ball,,,
28/05/24,Carolina,Torti,R,4,FB,5,1,0,foul,,,
28/05/24,Carolina,Torti,R,4,CH,10,0,0,ball,,,
28/05/24,Carolina,Torti,R,4,FB,2,1,0,bip,grounder,1,go3
30/05/24,Danville,Torti,R,1,FB,12,0,0,ball,,,
30/05/24,Danville,Torti,R,1,FB,7,0,0,strike,looking,,
30/05/24,Danville,Torti,R,1,FB,11,0,0,ball,,,
30/05/24,Danville,Torti,R,1,CB,9,0,0,strike,looking,,
30/05/24,Danville,Torti,R,1,FB,13,0,0,ball,,,
30/05/24,Danville,Torti,R,1,SL,7,1,0,foul,,,
30/05/24,Danville,Torti,R,1,SL,6,1,0,bip,grounder,2,single
30/05/24,Danville,Torti,R,2,FB,12,0,0,ball,,,
30/05/24,Danville,Torti,R,2,CH,13,0,0,ball,,,
30/05/24,Danville,Torti,R,2,FB,6,0,0,strike,looking,,
30/05/24,Danville,Torti,R,2,FB,10,0,0,ball,,,
30/05/24,Danville,Torti,R,2,SL,4,0,0,strike,looking,,
30/05/24,Danville,Torti,R,2,FB,3,1,1,strike,swinging,,k
30/05/24,Danville,Torti,R,3,FB,6,0,0,strike,looking,,
30/05/24,Danville,Torti,R,3,FB,7,0,0,strike,looking,,
30/05/24,Danville,Torti,R,3,FB,10,0,0,ball,,,
30/05/24,Danville,Torti,R,3,SL,1,1,0,foul,,,
30/05/24,Danville,Torti,R,3,FB,13,0,0,ball,,,
30/05/24,Danville,Torti,R,3,FB,11,0,0,ball,,,
30/05/24,Danville,Torti,R,3,FB,6,1,0,foul,,,
30/05/24,Danville,Torti,R,3,FB,6,1,0,bip,grounder,1,fc
30/05/24,Danville,Torti,R,4,FB,5,1,0,bip,fly,5,single
30/05/24,Danville,Torti,R,5,CH,13,0,0,ball,,,
30/05/24,Danville,Torti,R,5,CH,11,0,0,ball,,,
30/05/24,Danville,Torti,R,5,FB,11,0,0,ball,,,
30/05/24,Danville,Torti,R,5,FB,8,1,0,foul,,,
30/05/24,Danville,Torti,R,5,FB,13,0,0,ball,walk,,
31/05/24,Burlington,Torti,R,1,FB,7,1,0,foul,,,
31/05/24,Burlington,Torti,R,1,FB,12,1,1,strike,swinging,,
31/05/24,Burlington,Torti,R,1,SL,13,0,0,ball,,,
31/05/24,Burlington,Torti,R,1,FB,5,1,1,strike,swinging,,k
