date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
07/06/24,Reidsville,White,R,1,CB,4,0,0,strike,looking,,kk
07/06/24,Reidsville,White,R,2,CH,6,1,0,bip,grounder,4,single
07/06/24,Reidsville,White,R,3,FB,9,1,0,bip,popup,1,po3
07/06/24,Reidsville,White,R,4,FB,6,1,0,bip,grounder,2,go6
11/06/24,Clayton,White,R,1,FB,6,1,0,bip,grounder,3,go5
11/06/24,Clayton,White,R,2,CH,3,1,0,bip,grounder,2,go4
11/06/24,Clayton,White,L,3,CH,4,1,0,bip,liner,2,lo1
11/06/24,Clayton,White,R,4,FB,4,1,0,bip,grounder,2,gidp
11/06/24,Clayton,White,R,5,SL,7,0,0,strike,looking,,kk
05/06/24,Yorktown,White,R,1,FB,3,1,0,bip,liner,4,lo7
05/06/24,Yorktown,White,R,2,FB,5,1,0,bip,fly,5,fo9
05/06/24,Yorktown,White,R,3,FB,10,0,0,ball,walk,,
05/06/24,Yorktown,White,L,4,FB,4,1,0,bip,fly,4,single
30/05/24,Danville,White,R,1,FB,12,1,1,strike,swinging,,k
31/05/24,Burlington,White,R,1,FB,6,0,0,strike,looking,,kk
31/05/24,Burlington,White,L,2,FB,5,1,0,bip,grounder,5,single
31/05/24,Burlington,White,R,3,FB,10,0,0,ball,hbp,,
31/05/24,Burlington,White,R,4,FB,9,1,1,strike,swinging,,k
27/06/24,C. Pirates,White,R,1,FB,7,1,0,bip,fly,4,fo7
27/06/24,C. Pirates,White,R,2,FB,3,1,0,bip,liner,5,lo8
27/06/24,C. Pirates,White,R,3,FB,3,1,0,bip,fly,5,roe
27/06/24,C. Pirates,White,R,4,FB,4,1,0,bip,fly,4,fo8
02/07/24,Clayton,White,R,1,CB,6,1,0,bip,popup,3,po6
02/07/24,Clayton,White,R,2,CB,6,1,0,bip,fly,6,single
02/07/24,Clayton,White,L,3,FB,13,1,1,strike,swinging,,k
02/07/24,Clayton,White,L,4,FB,2,1,0,bip,liner,5,double
02/07/24,Clayton,White,L,5,FB,3,1,0,bip,liner,6,single
03/07/24,Tarboro,White,R,1,CB,9,1,0,bip,grounder,2,go4
03/07/24,Tarboro,White,R,2,CB,6,1,0,bip,grounder,1,go4
03/07/24,Tarboro,White,R,3,FB,4,1,0,bip,fly,7,sf9
03/07/24,Tarboro,White,R,4,FB,1,1,1,strike,swinging,,k
03/07/24,Tarboro,White,R,5,FB,5,1,0,bip,grounder,5,single
07/07/24,Oak City,White,R,1,FB,11,0,0,ball,walk,,
07/07/24,Oak City,White,R,2,CH,12,0,0,ball,walk,,
07/07/24,Oak City,White,R,3,FB,13,0,0,ball,walk,,
07/07/24,Oak City,White,R,4,FB,2,1,0,bip,liner,3,lo5
07/07/24,Oak City,White,R,5,FB,2,1,0,bip,fly,5,double
10/07/24,Clayton,White,R,1,CH,1,1,0,bip,fly,5,fo8
10/07/24,Clayton,White,R,2,CB,6,1,0,bip,grounder,3,go6
10/07/24,Clayton,White,R,3,CB,7,1,0,bip,fly,6,fo9
16/07/24,Oak City,White,R,1,SL,6,1,0,bip,grounder,2,fc
16/07/24,Oak City,White,R,2,CH,1,1,0,bip,liner,4,single
16/07/24,Oak City,White,R,3,FB,1,1,0,bip,grounder,6,double
16/07/24,Oak City,White,R,4,CH,1,1,1,strike,swinging,,k
17/07/24,High Point,White,L,1,FB,3,1,0,bip,popup,2,po4
17/07/24,High Point,White,L,2,CH,9,1,0,bip,fly,6,fo9
06/07/24,High Point,White,R,1,FB,5,1,0,bip,grounder,2,go4
06/07/24,High Point,White,R,2,CB,8,1,0,bip,grounder,3,sh6
06/07/24,High Point,White,R,3,FB,2,1,0,bip,grounder,2,roe
06/07/24,High Point,White,R,4,CB,9,0,0,strike,looking,,kk
