date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
28/05/24,Carolina,Widener,,,78,FB,6,1,0
28/05/24,Carolina,Widener,,,,CH,13,0,0
28/05/24,Carolina,Widener,,,,FB,5,1,0
28/05/24,Carolina,Widener,,,,FB,10,0,0
28/05/24,Carolina,Widener,,,80,FB,11,1,1
28/05/24,Carolina,Widener,,,,FB,6,1,1
28/05/24,Carolina,Widener,,,,CH,12,0,0
28/05/24,Carolina,Widener,,,,FB,1,1,0
28/05/24,Carolina,Widener,,,,CB,12,0,0
28/05/24,Carolina,Widener,,,,SL,13,0,0
28/05/24,Carolina,Widener,,,82,FB,8,1,0
28/05/24,Carolina,Widener,,,82,FB,9,1,0
28/05/24,Carolina,Widener,,,82,FB,8,1,0
28/05/24,Carolina,Widener,,,73,CH,8,1,0
28/05/24,Carolina,Widener,,,78,FB,9,0,0
28/05/24,Carolina,Widener,,,78,SL,9,0,0
28/05/24,Carolina,Widener,,,70,CH,5,0,0
28/05/24,Carolina,Widener,,,66,SL,4,1,0
28/05/24,Carolina,Widener,,,79,FB,9,1,1
28/05/24,Carolina,Widener,,,71,CH,7,0,0
28/05/24,Carolina,Widener,,,67,CB,12,1,1
28/05/24,Carolina,Widener,,,,FB,12,0,0
28/05/24,Carolina,Widener,,,,FB,3,1,1
28/05/24,Carolina,Widener,,,71,CH,13,0,0
28/05/24,Carolina,Widener,,,,FB,7,1,0
28/05/24,Carolina,Widener,,,,CH,12,0,0
28/05/24,Carolina,Widener,,,,FB,5,0,0
28/05/24,Carolina,Widener,,,,SL,6,1,0
28/05/24,Carolina,Widener,,,,SL,13,0,0
28/05/24,Carolina,Widener,,,,CH,12,0,0
28/05/24,Carolina,Widener,,,,FB,10,0,0
28/05/24,Carolina,Widener,,,,SL,13,0,0
28/05/24,Carolina,Widener,,,79,FB,2,1,0
28/05/24,Carolina,Widener,,,67,CB,7,1,0
28/05/24,Carolina,Widener,,,65,CB,5,0,0
28/05/24,Carolina,Widener,,,79,SL,13,1,1
28/05/24,Carolina,Widener,,,79,FB,2,1,1
28/05/24,Carolina,Widener,,,70,CB,13,0,0
28/05/24,Carolina,Widener,,,66,CB,6,1,0
28/05/24,Carolina,Widener,,,,FB,12,0,0
28/05/24,Carolina,Widener,,,77,SL,9,1,0
28/05/24,Carolina,Widener,,,78,FB,5,1,0
28/05/24,Carolina,Widener,,,73,CH,4,1,0
28/05/24,Carolina,Widener,,,80,FB,12,0,0
28/05/24,Carolina,Widener,,,81,FB,5,1,1
28/05/24,Carolina,Widener,,,70,CH,12,0,0
28/05/24,Carolina,Widener,,,83,FB,4,1,1
28/05/24,Carolina,Widener,,,69,CH,1,1,0
28/05/24,Carolina,Widener,,,68,CB,13,0,0
28/05/24,Carolina,Widener,,,81,FB,8,1,0
28/05/24,Carolina,Widener,,,66,CB,12,0,0
28/05/24,Carolina,Widener,,,65,CB,12,0,0
28/05/24,Carolina,Widener,,,83,FB,3,1,1
28/05/24,Carolina,Widener,,,73,CH,7,1,1
28/05/24,Carolina,Widener,,,,CH,4,0,0
28/05/24,Carolina,Widener,,,76,SL,9,1,1
04/06/24,High Point,Widener,R,1,75,FB,8,0,0
04/06/24,High Point,Widener,R,1,54,FB,11,0,0
04/06/24,High Point,Widener,R,1,,SL,9,0,0
04/06/24,High Point,Widener,R,1,74,FB,5,1,0
04/06/24,High Point,Widener,R,2,66,SL,13,0,0
04/06/24,High Point,Widener,R,2,78,FB,3,0,0
04/06/24,High Point,Widener,R,2,76,FB,9,0,0
04/06/24,High Point,Widener,R,2,78,FB,13,1,1
04/06/24,High Point,Widener,R,3,,CH,8,0,0
04/06/24,High Point,Widener,R,3,78,FB,2,1,0
