date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
04/06/24,High Point,Williams,R,1,FB,13,0,0,ball,,,
04/06/24,High Point,Williams,R,1,CH,7,0,0,strike,looking,,
04/06/24,High Point,Williams,R,1,CB,10,0,0,ball,,,
04/06/24,High Point,Williams,R,1,CH,11,0,0,ball,,,
04/06/24,High Point,Williams,R,1,FB,4,0,0,strike,looking,,
04/06/24,High Point,Williams,R,1,FB,11,1,0,foul,,,
04/06/24,High Point,Williams,R,1,FB,3,1,0,bip,fly,4,sf8
04/06/24,High Point,Williams,R,2,FB,11,0,0,ball,,,
04/06/24,High Point,Williams,R,2,CH,10,0,0,ball,,,
04/06/24,High Point,Williams,R,2,CB,12,0,0,ball,,,
04/06/24,High Point,Williams,R,2,FB,11,0,0,ball,walk,,
04/06/24,High Point,Williams,R,3,FB,7,1,0,bip,popup,3,po6
28/05/24,Carolina,Williams,R,1,FB,12,1,0,bip,grounder,3,roe
28/05/24,Carolina,Williams,R,2,FB,4,0,0,strike,looking,,
28/05/24,Carolina,Williams,R,2,CH,7,1,0,foul,,,
28/05/24,Carolina,Williams,R,2,SL,5,1,0,foul,,,
28/05/24,Carolina,Williams,R,2,CH,5,1,0,bip,grounder,2,go1
28/05/24,Carolina,Williams,R,3,CB,12,0,0,ball,,,
28/05/24,Carolina,Williams,R,3,FB,6,1,1,strike,swinging,,
28/05/24,Carolina,Williams,R,3,FB,6,1,0,bip,fly,6,fo9
31/05/24,Burlington,Williams,R,1,FB,1,1,0,foul,,,
31/05/24,Burlington,Williams,R,1,CB,13,0,0,ball,,,
31/05/24,Burlington,Williams,R,1,SL,4,0,0,strike,looking,,
31/05/24,Burlington,Williams,R,1,FB,6,1,0,foul,,,
31/05/24,Burlington,Williams,R,1,FB,11,0,0,ball,,,
31/05/24,Burlington,Williams,R,1,SL,13,1,1,strike,swinging,,k
31/05/24,Burlington,Williams,L,2,FB,3,1,0,bip,liner,5,lo8
31/05/24,Burlington,Williams,R,3,CH,9,0,0,strike,looking,,
31/05/24,Burlington,Williams,R,3,FB,13,1,1,strike,swinging,,
31/05/24,Burlington,Williams,R,3,FB,11,0,0,ball,,,
31/05/24,Burlington,Williams,R,3,SL,11,0,0,ball,,,
31/05/24,Burlington,Williams,R,3,FB,13,0,0,ball,,,
31/05/24,Burlington,Williams,R,3,FB,9,0,0,strike,looking,,kk
31/05/24,Burlington,Williams,R,4,FB,8,1,0,bip,grounder,2,go6
21/06/24,Oak City,Williams,R,1,CB,13,0,0,ball,,,
21/06/24,Oak City,Williams,R,1,CB,11,0,0,ball,,,
21/06/24,Oak City,Williams,R,1,FB,5,1,1,strike,swinging,,
21/06/24,Oak City,Williams,R,1,FB,13,0,0,ball,,,
21/06/24,Oak City,Williams,R,1,FB,6,1,0,bip,fly,7,fo9
21/06/24,Oak City,Williams,R,2,CB,3,0,0,ball,,,
21/06/24,Oak City,Williams,R,2,FB,13,1,1,strike,swinging,,
21/06/24,Oak City,Williams,R,2,FB,11,0,0,ball,,,
21/06/24,Oak City,Williams,R,2,CB,8,1,0,bip,grounder,3,roe
21/06/24,Oak City,Williams,R,3,FB,9,0,0,strike,looking,,
21/06/24,Oak City,Williams,R,3,CH,11,0,0,ball,,,
21/06/24,Oak City,Williams,R,3,CB,4,0,0,strike,looking,,
21/06/24,Oak City,Williams,R,3,FB,10,0,0,ball,,,
21/06/24,Oak City,Williams,R,3,CB,10,0,0,ball,,,
21/06/24,Oak City,Williams,R,3,FB,6,1,1,strike,swinging,,k
21/06/24,Oak City,Williams,R,4,FB,2,1,0,foul,,,
21/06/24,Oak City,Williams,R,4,SL,8,1,0,foul,,,
21/06/24,Oak City,Williams,R,5,FB,2,1,0,foul,,,
21/06/24,Oak City,Williams,R,5,CH,3,1,0,foul,,,
21/06/24,Oak City,Williams,R,5,SL,9,1,0,foul,,,
21/06/24,Oak City,Williams,R,5,FB,11,1,1,strike,swinging,,k
27/06/24,C. Pirates,Williams,R,1,FB,8,0,0,strike,looking,,
27/06/24,C. Pirates,Williams,R,1,FB,11,1,0,bip,grounder,2,go4
27/06/24,C. Pirates,Williams,R,2,FB,10,0,0,ball,,,
27/06/24,C. Pirates,Williams,R,2,CH,9,0,0,strike,looking,,
27/06/24,C. Pirates,Williams,R,2,CB,11,0,0,ball,,,
27/06/24,C. Pirates,Williams,R,2,FB,3,1,0,bip,grounder,3,go6
27/06/24,C. Pirates,Williams,R,3,CB,13,0,0,ball,,,
27/06/24,C. Pirates,Williams,R,3,CH,11,0,0,ball,,,
27/06/24,C. Pirates,Williams,R,3,FB,13,0,0,ball,,,
27/06/24,C. Pirates,Williams,R,3,FB,5,0,0,strike,looking,,
27/06/24,C. Pirates,Williams,R,3,CH,4,0,0,strike,looking,,
27/06/24,C. Pirates,Williams,R,3,CB,7,0,0,strike,looking,,kk
27/06/24,C. Pirates,Williams,R,4,FB,10,0,0,ball,,,
27/06/24,C. Pirates,Williams,R,4,FB,12,0,0,ball,,,
27/06/24,C. Pirates,Williams,R,4,FB,12,0,0,ball,,,
27/06/24,C. Pirates,Williams,R,4,CH,5,0,0,strike,looking,,
27/06/24,C. Pirates,Williams,R,4,CH,6,1,0,foul,,,
27/06/24,C. Pirates,Williams,R,4,FB,1,1,0,bip,liner,5,single
03/07/24,Tarboro,Williams,R,1,FB,12,0,0,ball,,,
03/07/24,Tarboro,Williams,R,1,FB,11,0,0,ball,,,
03/07/24,Tarboro,Williams,R,1,CH,9,1,0,bip,liner,6,single
03/07/24,Tarboro,Williams,R,2,CH,2,1,1,strike,swinging,,
03/07/24,Tarboro,Williams,R,2,FB,10,0,0,ball,,,
03/07/24,Tarboro,Williams,R,2,CB,13,0,0,ball,,,
03/07/24,Tarboro,Williams,R,2,FB,13,0,0,ball,,,
03/07/24,Tarboro,Williams,R,2,FB,10,0,0,ball,walk,,
