date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
16/07/24,Oak City,Williams,R,1,82,FB,10,0,0
16/07/24,Oak City,Williams,R,1,82,FB,10,1,1
16/07/24,Oak City,Williams,R,1,85,FB,10,0,0
16/07/24,Oak City,Williams,R,1,82,FB,11,0,0
16/07/24,Oak City,Williams,R,1,84,FB,3,1,0
16/07/24,Oak City,Williams,L,2,75,SL,12,0,0
16/07/24,Oak City,Williams,L,2,74,SL,4,0,0
16/07/24,Oak City,Williams,L,2,75,CH,12,1,1
16/07/24,Oak City,Williams,L,2,84,FB,10,1,0
16/07/24,Oak City,Williams,L,2,75,CB,5,1,0
16/07/24,Oak City,Williams,L,2,75,CH,2,1,0
16/07/24,Oak City,Williams,R,3,86,FB,7,0,0
16/07/24,Oak City,Williams,R,3,75,CB,12,0,0
16/07/24,Oak City,Williams,R,3,84,FB,10,0,0
16/07/24,Oak City,Williams,R,3,84,FB,1,1,0
16/07/24,Oak City,Williams,R,4,74,CB,2,0,0
16/07/24,Oak City,Williams,R,4,84,FB,13,1,0
16/07/24,Oak City,Williams,R,4,76,CH,13,0,0
16/07/24,Oak City,Williams,R,4,84,FB,6,1,0
16/07/24,Oak City,Williams,R,5,86,FB,6,1,0
16/07/24,Oak City,Williams,R,5,76,CB,13,1,1
16/07/24,Oak City,Williams,R,5,77,CH,12,1,1
16/07/24,Oak City,Williams,R,6,76,CH,10,0,0
16/07/24,Oak City,Williams,R,6,84,FB,6,1,0
16/07/24,Oak City,Williams,R,6,86,FB,7,0,0
16/07/24,Oak City,Williams,R,6,77,CH,11,0,0
16/07/24,Oak City,Williams,R,6,86,FB,9,1,1
