date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
04/06/24,High Point,Williams,R,1,FB,3,1,0,bip,fly,4,sf8
04/06/24,High Point,Williams,R,2,FB,11,0,0,ball,walk,,
04/06/24,High Point,Williams,R,3,FB,7,1,0,bip,popup,3,po6
28/05/24,Carolina,Williams,R,1,FB,12,1,0,bip,grounder,3,roe
28/05/24,Carolina,Williams,R,2,CH,5,1,0,bip,grounder,2,go1
28/05/24,Carolina,Williams,R,3,FB,6,1,0,bip,fly,6,fo9
31/05/24,Burlington,Williams,R,1,SL,13,1,1,strike,swinging,,k
31/05/24,Burlington,Williams,L,2,FB,3,1,0,bip,liner,5,lo8
31/05/24,Burlington,Williams,R,3,FB,9,0,0,strike,looking,,kk
31/05/24,Burlington,Williams,R,4,FB,8,1,0,bip,grounder,2,go6
21/06/24,Oak City,Williams,R,1,FB,6,1,0,bip,fly,7,fo9
21/06/24,Oak City,Williams,R,2,CB,8,1,0,bip,grounder,3,roe
21/06/24,Oak City,Williams,R,3,FB,6,1,1,strike,swinging,,k
21/06/24,Oak City,Williams,R,5,FB,11,1,1,strike,swinging,,k
27/06/24,C. Pirates,Williams,R,1,FB,11,1,0,bip,grounder,2,go4
27/06/24,C. Pirates,Williams,R,2,FB,3,1,0,bip,grounder,3,go6
27/06/24,C. Pirates,Williams,R,3,CB,7,0,0,strike,looking,,kk
27/06/24,C. Pirates,Williams,R,4,FB,1,1,0,bip,liner,5,single
03/07/24,Tarboro,Williams,R,1,CH,9,1,0,bip,liner,6,single
03/07/24,Tarboro,Williams,R,2,FB,10,0,0,ball,walk,,
03/07/24,Tarboro,Williams,R,3,CB,1,1,1,strike,swinging,,k
03/07/24,Tarboro,Williams,R,4,CH,10,0,0,ball,walk,,
03/07/24,Tarboro,Williams,R,5,FB,9,1,0,bip,popup,7,po1
11/07/24,C. Pirates,Williams,R,1,FB,6,1,0,bip,liner,6,lo9
11/07/24,C. Pirates,Williams,R,2,FB,2,1,0,bip,fly,5,fo8
11/07/24,C. Pirates,Williams,R,3,FB,5,1,0,bip,grounder,4,single
11/07/24,C. Pirates,Williams,R,4,FB,10,0,0,ball,walk,,
16/07/24,Oak City,Williams,R,1,FB,1,1,0,bip,grounder,3,go5
16/07/24,Oak City,Williams,R,2,CH,10,1,1,strike,swinging,,k
16/07/24,Oak City,Williams,R,3,FB,2,1,0,bip,grounder,2,go4
16/07/24,Oak City,Williams,R,4,,,,,,walk,,
17/07/24,High Point,Williams,R,1,CB,10,0,0,ball,hbp,,
17/07/24,High Point,Williams,R,2,FB,7,1,0,bip,popup,2,po4
17/07/24,High Point,Williams,L,3,CH,12,0,0,ball,walk,,
