date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
04/06/24,High Point,Wilson,R,1,FB,11,0,0,ball,,,
04/06/24,High Point,Wilson,R,1,CB,12,0,0,ball,,,
04/06/24,High Point,Wilson,R,1,CH,10,0,0,ball,,,
04/06/24,High Point,Wilson,R,1,FB,11,0,0,ball,walk,,
04/06/24,High Point,Wilson,R,2,CB,9,1,1,strike,swinging,,
04/06/24,High Point,Wilson,R,2,SL,8,1,1,strike,swinging,,
04/06/24,High Point,Wilson,R,2,FB,1,1,0,bip,grounder,3,roe
04/06/24,High Point,Wilson,R,3,FB,10,0,0,ball,,,
04/06/24,High Point,Wilson,R,3,FB,3,1,0,bip,liner,4,lo7
04/06/24,High Point,Wilson,R,4,CH,11,0,0,ball,,,
04/06/24,High Point,Wilson,R,4,CH,11,0,0,ball,,,
04/06/24,High Point,Wilson,R,4,FB,2,1,0,foul,,,
04/06/24,High Point,Wilson,R,4,SL,13,1,1,strike,swinging,,
04/06/24,High Point,Wilson,R,4,CB,10,0,0,ball,,,
04/06/24,High Point,Wilson,R,4,FB,3,1,0,bip,liner,5,single
07/06/24,Reidsville,Wilson,R,1,FB,12,0,0,ball,hbp,,
07/06/24,Reidsville,Wilson,R,2,FB,11,0,0,ball,,,
07/06/24,Reidsville,Wilson,R,2,FB,6,1,0,bip,grounder,3,roe
07/06/24,Reidsville,Wilson,R,3,FB,11,0,0,ball,,,
07/06/24,Reidsville,Wilson,R,3,CH,11,0,0,ball,,,
07/06/24,Reidsville,Wilson,R,3,FB,3,1,1,strike,swinging,,
07/06/24,Reidsville,Wilson,R,3,SL,13,0,0,ball,,,
07/06/24,Reidsville,Wilson,R,3,FB,11,0,0,ball,walk,,
07/06/24,Reidsville,Wilson,L,4,FB,6,0,0,strike,looking,,
07/06/24,Reidsville,Wilson,L,4,CB,13,0,0,ball,,,
07/06/24,Reidsville,Wilson,L,4,FB,3,1,0,bip,fly,6,fo9
30/05/24,Danville,Wilson,R,1,SL,2,1,0,foul,,,
30/05/24,Danville,Wilson,R,1,FB,13,0,0,ball,,,
30/05/24,Danville,Wilson,R,1,FB,13,0,0,ball,,,
30/05/24,Danville,Wilson,R,1,FB,13,0,0,ball,,,
30/05/24,Danville,Wilson,R,1,CB,7,1,0,foul,,,
30/05/24,Danville,Wilson,R,1,SL,11,0,0,ball,walk,,
30/05/24,Danville,Wilson,R,2,SL,12,0,0,ball,,,
30/05/24,Danville,Wilson,R,2,FB,10,0,0,ball,,,
30/05/24,Danville,Wilson,R,2,FB,13,0,0,ball,,,
30/05/24,Danville,Wilson,R,2,FB,6,0,0,strike,looking,,
30/05/24,Danville,Wilson,R,2,FB,12,0,0,ball,walk,,
30/05/24,Danville,Wilson,R,3,FB,10,0,0,ball,,,
30/05/24,Danville,Wilson,R,3,CH,10,0,0,ball,,,
30/05/24,Danville,Wilson,R,3,CB,9,0,0,strike,looking,,
30/05/24,Danville,Wilson,R,3,CH,7,0,0,strike,looking,,
30/05/24,Danville,Wilson,R,3,FB,13,0,0,ball,,,
30/05/24,Danville,Wilson,R,3,CB,10,0,0,ball,hbp,,
30/05/24,Danville,Wilson,R,4,FB,4,1,0,bip,grounder,2,go1
11/07/24,C. Pirates,Wilson,R,1,FB,13,0,0,ball,,,
