date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
6/15/2024,Burlington,Fleming,R,1,SL,13,0,0,ball,,,
6/15/2024,Burlington,Fleming,R,1,FB,11,0,0,ball,,,
6/15/2024,Burlington,Fleming,R,1,CH,2,1,1,swing,miss,,
6/15/2024,Burlington,Fleming,R,1,FB,6,0,0,strike,looking,,
6/15/2024,Burlington,Fleming,R,1,CB,11,0,0,ball,,,
6/15/2024,Burlington,Fleming,R,1,FB,13,1,1,strike,swinging,,k
6/15/2024,Burlington,Fleming,R,2,FB,11,0,0,ball,,,
6/15/2024,Burlington,Fleming,R,2,FB,13,0,0,ball,,,
6/15/2024,Burlington,Fleming,R,2,CH,11,0,0,ball,,,
6/15/2024,Burlington,Fleming,R,2,CH,7,0,0,strike,looking,,
6/15/2024,Burlington,Fleming,R,2,FB,11,0,0,ball,walk,,
6/15/2024,Burlington,Fleming,R,3,FB,12,0,0,ball,,,
6/15/2024,Burlington,Fleming,R,3,SL,6,1,0,foul,,,
6/15/2024,Burlington,Fleming,R,3,CB,12,0,0,ball,,,
6/15/2024,Burlington,Fleming,R,3,FB,1,0,0,strike,looking,,
6/15/2024,Burlington,Fleming,R,3,FB,6,1,0,foul,,,
6/15/2024,Burlington,Fleming,R,3,SL,3,1,0,bip,fly,6,sf9
6/15/2024,Burlington,Miller,R,1,FB,13,0,0,ball,,,
6/15/2024,Burlington,Miller,R,1,FB,1,1,0,bip,popup,3,po6
6/15/2024,Burlington,Miller,R,2,CB,13,0,0,ball,,,
6/15/2024,Burlington,Miller,R,2,CB,11,0,0,ball,,,
6/15/2024,Burlington,Miller,R,2,FB,10,0,0,ball,,,
6/15/2024,Burlington,Miller,R,2,FB,7,1,0,bip,grounder,4,double
6/15/2024,Burlington,Miller,R,3,CH,11,0,0,ball,,,
6/15/2024,Burlington,Miller,R,3,CH,11,0,0,ball,,,
6/15/2024,Burlington,Miller,R,3,FB,6,1,0,bip,grounder,3,fc
6/15/2024,Burlington,Miller,R,4,CH,12,1,0,foul,,,
6/15/2024,Burlington,Miller,R,4,FB,5,1,0,bip,popup,2,fc
6/15/2024,Burlington,Ross,R,1,FB,10,0,0,ball,,,
6/15/2024,Burlington,Ross,R,1,FB,2,1,0,bip,grounder,2,go1
6/15/2024,Burlington,Ross,R,2,FB,10,0,0,ball,,,
6/15/2024,Burlington,Ross,R,2,CH,7,1,0,bip,liner,6,lo9
6/15/2024,Burlington,Ross,R,3,CB,13,0,0,ball,,,
6/15/2024,Burlington,Ross,R,3,CH,11,0,0,ball,,,
6/15/2024,Burlington,Ross,R,3,CH,10,0,0,ball,,,
6/15/2024,Burlington,Ross,R,3,FB,3,1,1,strike,swinging,,
6/15/2024,Burlington,Ross,R,3,CH,11,0,0,ball,walk,,
6/15/2024,Burlington,Ross,R,4,CB,8,0,0,strike,looking,,
6/15/2024,Burlington,Ross,R,4,CB,10,0,0,ball,,,
6/15/2024,Burlington,Ross,R,4,FB,8,0,0,strike,looking,,
6/15/2024,Burlington,Ross,R,4,CB,12,0,0,ball,,,
6/15/2024,Burlington,Ross,R,4,FB,12,0,0,ball,,,
6/15/2024,Burlington,Ross,R,4,FB,3,1,0,bip,liner,6,single
6/15/2024,Burlington,Drew,R,1,FB,4,1,0,bip,grounder,1,go4
6/15/2024,Burlington,Drew,R,2,FB,6,1,0,bip,grounder,2,single
6/15/2024,Burlington,Drew,R,3,CB,9,0,0,strike,looking,,
6/15/2024,Burlington,Drew,R,3,CH,10,0,0,ball,,,
6/15/2024,Burlington,Drew,R,3,FB,13,0,0,ball,,,
6/15/2024,Burlington,Drew,R,3,CB,13,0,0,ball,,,
6/15/2024,Burlington,Drew,R,3,CH,1,1,0,bip,fly,4,single
6/15/2024,Burlington,Drew,R,4,CH,13,1,0,foul,,,
6/15/2024,Burlington,Drew,R,4,FB,2,1,0,foul,,,
6/15/2024,Burlington,Drew,R,4,CB,13,0,0,ball,,,
6/15/2024,Burlington,Drew,R,4,CH,3,1,0,bip,fly,5,fo9
6/15/2024,Burlington,Bock,R,1,CB,10,0,0,ball,,,
6/15/2024,Burlington,Bock,R,1,FB,10,1,1,strike,swinging,,
6/15/2024,Burlington,Bock,R,1,FB,1,1,0,foul,,,
6/15/2024,Burlington,Bock,R,1,CB,13,0,0,ball,,,
6/15/2024,Burlington,Bock,R,1,FB,11,0,0,ball,,,
6/15/2024,Burlington,Bock,R,1,FB,3,1,0,bip,grounder,2,go4
6/15/2024,Burlington,Bock,R,2,FB,4,1,0,foul,,,
6/15/2024,Burlington,Bock,R,2,CB,10,0,0,ball,,,
6/15/2024,Burlington,Bock,R,2,SL,13,0,0,ball,,,
6/15/2024,Burlington,Bock,R,2,FB,11,0,0,ball,,,
6/15/2024,Burlington,Bock,R,2,FB,11,0,0,ball,walk,,
6/15/2024,Burlington,Bock,R,3,FB,10,0,0,ball,,,
6/15/2024,Burlington,Bock,R,3,SL,13,0,0,ball,,,
6/15/2024,Burlington,Bock,R,3,CH,10,0,0,ball,,,
6/15/2024,Burlington,Bock,R,3,FB,3,0,0,strike,looking,,
6/15/2024,Burlington,Bock,R,3,FB,9,0,0,strike,looking,,
6/15/2024,Burlington,Bock,R,3,FB,2,1,0,foul,,,
6/15/2024,Burlington,Bock,R,3,CH,1,1,1,strike,swinging,,k
6/15/2024,Burlington,Bock,R,4,CB,13,0,0,ball,,,
6/15/2024,Burlington,Bock,R,4,FB,7,1,0,foul,,,
6/15/2024,Burlington,Bock,R,4,FB,11,0,0,ball,,,
6/15/2024,Burlington,Bock,R,4,SL,13,0,0,ball,,,
6/15/2024,Burlington,Bock,R,4,CB,12,0,0,ball,walk,,
6/15/2024,Burlington,Richardson,R,1,CH,10,0,0,ball,,,
6/15/2024,Burlington,Richardson,R,1,CH,13,0,0,ball,,,
6/15/2024,Burlington,Richardson,R,1,FB,11,0,0,ball,,,
6/15/2024,Burlington,Richardson,R,1,FB,12,0,0,ball,walk,,
6/15/2024,Burlington,Richardson,R,2,CH,11,0,0,ball,,,
6/15/2024,Burlington,Richardson,R,2,FB,13,0,0,ball,,,
6/15/2024,Burlington,Richardson,R,2,CH,3,0,0,ball,,,
6/15/2024,Burlington,Richardson,R,2,FB,11,1,0,foul,,,
6/15/2024,Burlington,Richardson,R,2,CB,10,0,0,ball,,,
6/15/2024,Burlington,Richardson,R,2,CH,7,1,0,foul,,,
6/15/2024,Burlington,Richardson,R,2,FB,2,1,0,foul,,,
6/15/2024,Burlington,Richardson,R,2,FB,11,0,0,ball,walk,,
6/15/2024,Burlington,Richardson,R,3,SL,13,0,0,ball,,,
