date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss,,
04JUN2024,High Point,Brown,L,1,77,FB,5,0,0,,
04JUN2024,High Point,Brown,L,1,77,FB,10,0,0,,
04JUN2024,High Point,Brown,L,1,78,FB,6,0,0,,
04JUN2024,High Point,Brown,L,1,80,FB,12,1,1,,
04JUN2024,High Point,Brown,R,2,78,FB,12,0,0,,
04JUN2024,High Point,Brown,R,2,75,SL,13,1,0,,
04JUN2024,High Point,Brown,R,2,80,FB,4,1,0,,
04JUN2024,High Point,Brown,R,3,75,SL,11,0,0,,
04JUN2024,High Point,Brown,R,3,74,SL,11,1,1,,
04JUN2024,High Point,Brown,R,3,,FB,9,0,0,,
04JUN2024,High Point,Brown,R,3,75,SL,13,0,0,,
04JUN2024,High Point,Brown,R,3,,FB,10,0,0,,
04JUN2024,High Point,Brown,R,3,72,SL,13,0,0,,
04JUN2024,High Point,Brown,L,4,83,FB,13,0,0,,
04JUN2024,High Point,Brown,L,4,78,FB,5,0,0,,
04JUN2024,High Point,Brown,L,4,76,CH,8,0,0,,
04JUN2024,High Point,Brown,L,4,79,FB,6,0,0,,
04JUN2024,High Point,Brown,R,5,79,FB,9,0,0,,
04JUN2024,High Point,Brown,R,5,,FB,5,1,0,,
04JUN2024,High Point,Brown,R,6,72,SL,11,1,0,,
04JUN2024,High Point,Brown,R,7,71,SL,13,0,0,,
04JUN2024,High Point,Brown,R,7,78,FB,13,0,0,,
04JUN2024,High Point,Brown,R,7,,CH,3,0,0,,
04JUN2024,High Point,Brown,R,7,72,SL,13,0,0,,
04JUN2024,High Point,Brown,R,7,,FB,8,0,0,,
04JUN2024,High Point,Brown,R,7,78,FB,5,1,0,,
04JUN2024,High Point,Brown,R,7,,CH,7,1,0,,
04JUN2024,High Point,Brown,R,8,,CH,9,0,0,,
04JUN2024,High Point,Brown,R,8,,SL,10,0,0,,
04JUN2024,High Point,Brown,R,8,,CB,13,1,1,,
04JUN2024,High Point,Brown,R,8,,FB,5,1,1,,
28MAY2024,Carolina,Brown,,,84,FB,5,0,0,,
28MAY2024,Carolina,Brown,,,86,FB,12,0,0,,
28MAY2024,Carolina,Brown,,,83,FB,5,1,1,,
28MAY2024,Carolina,Brown,,,86,FB,7,1,0,,
28MAY2024,Carolina,Brown,,,79,SL,8,1,1,,
28MAY2024,Carolina,Brown,,,85,FB,13,0,0,,
28MAY2024,Carolina,Brown,,,77,SL,5,1,0,,
28MAY2024,Carolina,Brown,,,81,FB,4,0,0,,
28MAY2024,Carolina,Brown,,,80,FB,7,1,1,,
28MAY2024,Carolina,Brown,,,84,FB,12,0,0,,
28MAY2024,Carolina,Brown,,,85,FB,9,1,0,,
28MAY2024,Carolina,Brown,,,82,FB,12,1,1,,
28MAY2024,Carolina,Brown,,,75,SL,13,0,0,,
28MAY2024,Carolina,Brown,,,81,FB,13,0,0,,
28MAY2024,Carolina,Brown,,,81,FB,9,1,1,,
